"y(H, H2)(Z'), created by Plot Digitizer, 2.6.8"
"Date: 5/31/19, 9:52:43 PM"


76
Z',y(H, H2)
1.01754e-05,0.114297,
1.16174e-05,0.114605,
1.39860e-05,0.114910,
1.63248e-05,0.114902,
1.93945e-05,0.115527,
2.29397e-05,0.115836,
2.68945e-05,0.116787,
3.15310e-05,0.117423,
3.64800e-05,0.117739,
4.20199e-05,0.118381,
4.81880e-05,0.119683,
5.59986e-05,0.120667,
6.62358e-05,0.122329,
7.86912e-05,0.123673,
9.39033e-05,0.125722,
0.000110094,0.128158,
0.000130222,0.131001,
0.000158167,0.133905,
0.000192962,0.138008,
0.000212662,0.140300,
0.000241736,0.143021,
0.000283420,0.147812,
0.000320750,0.151928,
0.000358215,0.154876,
0.000408994,0.159188,
0.000444818,0.162278,
0.000490236,0.166340,
0.000547501,0.170504,
0.000616888,0.176219,
0.000698141,0.181126,
0.000793605,0.188231,
0.000951249,0.197230,
0.00106237,0.203283,
0.00120764,0.210675,
0.00137884,0.218336,
0.00153312,0.224418,
0.00171222,0.231305,
0.00192924,0.241041,
0.00216414,0.247754,
0.00247096,0.257471,
0.00282126,0.266834,
0.00319290,0.276538,
0.00366169,0.286594,
0.00419931,0.296198,
0.00475245,0.306127,
0.00537842,0.314651,
0.00608687,0.325199,
0.00698056,0.336097,
0.00776162,0.345459,
0.00901992,0.356053,
0.0107165,0.371030,
0.0129591,0.385572,
0.0154646,0.399585,
0.0183731,0.411834,
0.0220224,0.424457,
0.0260485,0.432680,
0.0298726,0.442284,
0.0358052,0.449610,
0.0425385,0.457059,
0.0509862,0.462079,
0.0611121,0.471028,
0.0719648,0.473591,
0.0847451,0.477480,
0.101127,0.481399,
0.121208,0.482684,
0.145277,0.483972,
0.172595,0.486604,
0.208704,0.487901,
0.255737,0.491898,
0.307877,0.493210,
0.380603,0.493160,
0.472595,0.495831,
0.589414,0.494416,
0.741635,0.494362,
0.908764,0.497043,
1.01488,0.495650,
