"Mass Fraction(Z'), created by Plot Digitizer, 2.6.8"
"Date: 2/10/19, 3:12:03 PM"


47
Z',Mass Fraction
0.00101985,1.53446e-10,
0.00114177,1.90922e-10,
0.00129989,2.70889e-10,
0.00149230,3.73277e-10,
0.00170607,5.29613e-10,
0.00200002,7.73610e-10,
0.00229607,1.06601e-09,
0.00260305,1.38568e-09,
0.00287804,1.90972e-09,
0.00330399,2.48226e-09,
0.00371458,3.32234e-09,
0.00422891,4.51188e-09,
0.00483460,6.03842e-09,
0.00541275,8.20103e-09,
0.00629245,1.16350e-08,
0.00731516,1.67496e-08,
0.00850417,2.48269e-08,
0.0100530,3.52200e-08,
0.0119337,5.06978e-08,
0.0136432,7.29891e-08,
0.0159935,1.00568e-07,
0.0188278,1.49058e-07,
0.0225370,1.96560e-07,
0.0267532,2.82941e-07,
0.0313620,3.89849e-07,
0.0373857,5.86287e-07,
0.0447523,8.43908e-07,
0.0551614,1.23244e-06,
0.0663092,1.93636e-06,
0.0790485,3.27284e-06,
0.0946260,4.92187e-06,
0.111860,7.08497e-06,
0.132228,9.20791e-06,
0.151794,1.09646e-05,
0.177196,1.38408e-05,
0.200039,1.57762e-05,
0.229634,1.77204e-05,
0.259232,1.90526e-05,
0.308995,2.20312e-05,
0.356187,2.33421e-05,
0.408883,2.62187e-05,
0.487370,2.98781e-05,
0.583378,3.77114e-05,
0.701212,4.55577e-05,
0.801610,5.42505e-05,
0.912562,6.46030e-05,
0.983918,7.47343e-05,
