Z,H2,H
1e-05,0.09823035859177041,0.8035392828164591
2.1544346900318823e-05,0.10028898968495958,0.7994220206300807
4.641588833612782e-05,0.10457823300518333,0.7908435339896334
0.0001,0.11320361275081432,0.7735927744983714
0.00021544346900318823,0.1294513986423586,0.7410972027152828
0.00046415888336127773,0.15717626472694105,0.6856474705461179
0.001,0.20006801424707804,0.5998639715058439
0.002154434690031882,0.26440167491764416,0.47119665016471163
0.004641588833612777,0.34998895521982015,0.3000220895603596
0.01,0.42722008576675524,0.14555982846648952
