"fy(Z), created by Plot Digitizer, 2.6.8"
"Date: 5/15/19, 12:54:11 PM"


59
Z,fy
1.02242e-05,0.960851,
1.21104e-05,0.956749,
1.41436e-05,0.956749,
1.64517e-05,0.960851,
2.09956e-05,0.956749,
2.52732e-05,0.956749,
3.06687e-05,0.956749,
4.02594e-05,0.960851,
4.86575e-05,0.952664,
6.02472e-05,0.948596,
7.34043e-05,0.952664,
8.87165e-05,0.956749,
0.000110291,0.960851,
0.000136562,0.952664,
0.000166385,0.956749,
0.000208522,0.952664,
0.000252020,0.956749,
0.000310794,0.952664,
0.000385598,0.956749,
0.000504146,0.956749,
0.000624228,0.952664,
0.000796637,0.956749,
0.000968656,0.952664,
0.00118258,0.948596,
0.00142638,0.956749,
0.00181668,0.956749,
0.00223133,0.952664,
0.00260070,0.956749,
0.00304347,0.952664,
0.00355443,0.948596,
0.00427861,0.948596,
0.00578902,0.952664,
0.00767634,0.944546,
0.00927763,0.944546,
0.0117687,0.944546,
0.0149587,0.944546,
0.0191674,0.944546,
0.0242161,0.932499,
0.0302268,0.940513,
0.0364586,0.944546,
0.0450517,0.940513,
0.0542305,0.940513,
0.0685148,0.940513,
0.0841531,0.944546,
0.0994773,0.944546,
0.124419,0.940513,
0.151896,0.940513,
0.186566,0.936497,
0.222325,0.936497,
0.259129,0.932499,
0.297793,0.940513,
0.340850,0.944546,
0.397274,0.936497,
0.463972,0.940513,
0.535354,0.940513,
0.617720,0.932499,
0.724343,0.936497,
0.861438,0.932499,
1.00404,0.936497,
