"Mass Fraction(Z'), created by Plot Digitizer, 2.6.8"
"Date: 2/10/19, 3:02:35 PM"


37
Z',Mass Fraction
0.0180119,1.09149e-10,
0.0194204,1.27191e-10,
0.0214714,1.62953e-10,
0.0241902,2.19698e-10,
0.0265782,2.89818e-10,
0.0299443,4.17273e-10,
0.0339489,5.96395e-10,
0.0374566,8.04147e-10,
0.0418491,1.14941e-09,
0.0452174,1.47273e-09,
0.0490627,2.02986e-09,
0.0526811,2.71736e-09,
0.0565654,3.48182e-09,
0.0616333,4.90516e-09,
0.0661782,6.42426e-09,
0.0721089,9.66500e-09,
0.0784055,1.37158e-08,
0.0850725,1.84950e-08,
0.0923065,2.51221e-08,
0.100158,3.59129e-08,
0.109129,4.84256e-08,
0.122181,6.77175e-08,
0.139392,9.74930e-08,
0.162042,1.27643e-07,
0.183316,1.47631e-07,
0.210873,1.58717e-07,
0.242566,1.56324e-07,
0.274392,1.47379e-07,
0.309739,1.32026e-07,
0.357030,1.23557e-07,
0.414994,1.13951e-07,
0.490512,1.12220e-07,
0.578563,1.11326e-07,
0.692478,1.11241e-07,
0.781716,1.11999e-07,
0.914379,1.16085e-07,
0.994105,1.16895e-07,
