"fy(Z), created by Plot Digitizer, 2.6.8"
"Date: 5/15/19, 12:49:24 PM"


55
Z,fy
1.04113e-05,0.904983,
1.15385e-05,0.904983,
1.29956e-05,0.908863,
1.46366e-05,0.904983,
1.64849e-05,0.901119,
1.88304e-05,0.908863,
2.07432e-05,0.901119,
2.42258e-05,0.904983,
2.74505e-05,0.904983,
3.14829e-05,0.908863,
3.57455e-05,0.904983,
4.05853e-05,0.901119,
4.57103e-05,0.901119,
6.59671e-05,0.908863,
7.58101e-05,0.908863,
0.000117877,0.901119,
0.000265580,0.885827,
0.000389503,0.897271,
0.000460432,0.897271,
0.000606860,0.882045,
0.000676639,0.874529,
0.000763622,0.870795,
0.000915503,0.863374,
0.00103528,0.859688,
0.00121642,0.867077,
0.00141779,0.863374,
0.00175903,0.852363,
0.00205022,0.848723,
0.00242356,0.848723,
0.00300083,0.837898,
0.00346949,0.830758,
0.00418479,0.820162,
0.00501713,0.813174,
0.00593075,0.806245,
0.00741777,0.789179,
0.00882172,0.789179,
0.0102201,0.779113,
0.0119119,0.769176,
0.0150192,0.749680,
0.0188228,0.743292,
0.0231191,0.730679,
0.0267837,0.724452,
0.0438866,0.715212,
0.0587838,0.715212,
0.0717658,0.715212,
0.103361,0.718279,
0.148267,0.718279,
0.191134,0.727559,
0.253447,0.724452,
0.326066,0.730679,
0.427171,0.740119,
0.555134,0.749680,
0.709889,0.749680,
0.887880,0.749680,
1,0.756123,
