log(fHD),log(n_H)
-5.079184865153228,-1.0457087556827034
-5.073804055830056,-1.0442329301827626
-5.068203214574512,-1.1239784485861208
-5.059084539132819,-1.1235440454915349
-5.046645693424348,-1.1231096423969273
-5.0311722700719645,-1.1226752393012223
-5.0129926607124204,-1.1222408362044094
-4.992458100224848,-1.1218064331064794
-4.969924606008388,-1.1213720300074235
-4.945738173347369,-1.1209376269072324
-4.9202238093943444,-1.1205032238058974
-4.893678353153254,-1.12006882070341
-4.8663666104101155,-1.119634417599762
-4.838520199548703,-1.1192000144949443
-4.810338392116776,-1.11876561138895
-4.781989700318303,-1.1183312082817711
-4.753614730122147,-1.1178968051734006
-4.725329279177525,-1.1174624020638315
-4.697227475544738,-1.1170279989530572
-4.6693847951703065,-1.1165935958410713
-4.641860849772313,-1.116159192727868
-4.614701891063561,-1.115724789613442
-4.587943013983836,-1.1152903864977872
-4.561610179737112,-1.1148559833808998
-4.535721841896403,-1.1144215802627748
-4.510290042194483,-1.113987177143409
-4.48532173288513,-1.1135527740227984
-4.460819764656458,-1.1131183709009402
-4.436783698645669,-1.112683967777832
-4.413210479245712,-1.112249564653471
-4.390094989564216,-1.1118151615278553
-4.367430508523556,-1.1113807584009834
-4.3452090858833685,-1.1109463552728547
-4.3234219645740515,-1.1105119521434683
-4.3020597899637485,-1.110077549012824
-4.281112570554203,-1.1096431458809224
-4.260569997207613,-1.1092087427477642
-4.240421585856896,-1.1087743396133505
-4.22065678467063,-1.1083399364776818
-4.201265059498544,-1.107905533340761
-4.182235961475977,-1.1074711302025895
-4.163559179992774,-1.10703672706317
-4.145224583673915,-1.106602323922505
-4.127222329162887,-1.1061679207805974
-4.10954292897115,-1.105733517637451
-4.092176963730731,-1.10529911449307
-4.0751152620261655,-1.1048647113474583
-4.05834891949233,-1.1044303082006206
-4.041869302750745,-1.1039959050525612
-4.0256680505435645,-1.1035615019032843
-4.009737072635996,-1.1031270987527955
-3.9940685469565014,-1.1026926956010994
-3.9786549153604307,-1.1022582924482018
