"T [K](log(nH [cm-3])), created by Plot Digitizer, 2.6.8"
"Date: 4/17/18, 2:11:03 PM"


186
log(nH [cm-3]),T [K]
-0.976815,307.841,
-0.889176,347.387,
-0.819014,402.692,
-0.740141,448.361,
-0.661247,509.370,
-0.582387,559.569,
-0.512252,631.458,
-0.442136,698.368,
-0.363276,767.192,
-0.319423,842.817,
-0.258047,944.734,
-0.144152,1066.08,
-0.0828025,1163.31,
0.0310721,1286.55,
0.118638,1348.41,
0.319931,1348.25,
0.442378,1243.76,
0.547294,1116.95,
0.634760,1058.46,
0.722192,969.905,
0.800899,912.967,
0.879587,842.227,
0.984529,776.957,
1.06322,716.755,
1.15942,670.155,
1.23810,614.090,
1.32555,570.323,
1.45675,526.117,
1.53547,505.311,
1.61416,466.158,
1.72788,441.740,
1.83282,407.507,
1.92903,381.012,
2.05149,356.235,
2.13021,339.857,
2.26142,317.754,
2.36640,303.141,
2.47135,283.430,
2.61132,266.782,
2.74256,256.224,
2.88255,244.436,
3.00503,234.764,
3.13628,226.993,
3.24127,219.482,
3.36375,210.797,
3.48623,201.101,
3.66998,193.137,
3.85371,180.570,
4.02871,174.589,
4.21245,166.552,
4.32621,163.218,
4.47493,153.630,
4.65863,140.769,
4.78111,134.294,
4.92108,126.406,
5.14857,118.178,
5.33233,115.033,
5.49858,110.478,
5.67361,109.727,
5.89238,106.805,
6.10242,106.077,
6.29497,106.780,
6.47000,106.054,
6.67128,105.332,
6.81132,105.323,
6.96008,103.909,
7.17014,105.301,
7.32766,103.886,
7.49395,103.876,
7.64274,104.567,
7.87030,105.967,
7.97538,111.811,
8.16801,122.821,
8.22059,131.351,
8.24698,150.234,
8.22962,174.161,
8.24729,206.004,
8.25618,237.210,
8.25632,271.316,
8.30015,292.115,
8.38773,310.303,
8.54531,325.212,
8.69415,345.448,
8.82545,352.453,
8.93051,364.468,
9.04432,379.432,
9.14059,379.411,
9.26313,384.514,
9.36817,392.317,
9.49947,397.593,
9.60449,397.568,
9.71827,400.221,
9.84077,389.583,
10.0158,392.169,
10.1909,394.772,
10.3484,402.770,
10.5235,413.696,
10.7248,424.912,
10.9086,433.515,
11.0487,445.284,
11.2062,430.538,
11.3199,416.291,
11.3986,399.829,
11.4774,381.447,
11.5473,361.475,
11.6260,340.255,
11.7047,313.891,
11.7834,293.486,
11.8884,272.566,
11.9233,253.148,
12.0282,228.871,
12.1856,194.777,
12.3255,174.916,
12.4130,161.362,
12.4741,149.864,
12.5879,141.063,
12.7716,131.002,
12.8853,126.667,
12.9903,123.301,
13.1391,121.646,
13.2441,117.621,
13.3666,116.043,
13.6117,118.388,
13.7080,121.605,
13.8743,132.688,
14.0319,144.782,
14.1195,151.745,
14.3122,170.081,
14.4348,188.097,
14.7151,230.052,
14.8114,254.424,
14.9866,287.093,
15.0742,317.511,
15.1881,348.794,
15.3457,396.237,
15.4596,453.179,
15.5297,484.645,
15.5998,521.788,
15.6962,573.205,
15.8276,633.919,
15.9327,696.382,
16.0290,754.795,
16.1604,818.091,
16.2480,898.710,
16.3794,1020.97,
16.4933,1129.12,
16.6334,1232.05,
16.7823,1353.41,
16.9136,1496.77,
17.0625,1644.21,
17.1676,1782.12,
17.3253,1970.85,
17.4916,2121.78,
17.6492,2268.98,
17.7893,2426.43,
17.9381,2543.02,
18.0695,2647.40,
18.2008,2737.61,
18.3409,2888.51,
18.4809,2986.92,
18.6735,3130.36,
18.8136,3237.02,
18.9274,3347.36,
19.2075,3627.75,
19.4176,3879.32,
19.6015,4093.04,
19.7853,4376.94,
20.0480,4807.78,
20.2493,5106.78,
20.4595,5497.72,
20.6521,6079.83,
20.8798,6768.74,
21.0374,7637.95,
21.2738,8734.94,
21.4315,9856.64,
21.5541,10827.7,
21.7731,13604.0,
21.9308,15875.2,
22.0797,18278.6,
22.2725,22356.7,
22.4302,26089.3,
22.5529,30857.5,
22.6930,34820.4,
22.7806,38251.8,
22.8945,43748.8,
22.9821,47101.3,
