Z,O,C,CO,H2O,OH,O2,CH
1e-05,0.9976174059569098,0.999999138745061,6.321651249533804e-07,0.00011865666550978627,0.002263936740799293,6.367810489052866e-10,2.290898142396215e-07
2.1544346900318823e-05,0.9975032190599087,0.999998268942814,1.4984467479117077e-06,0.0001251797335726667,0.0023715997750910368,1.431427603212663e-09,2.326104380748734e-07
4.641588833612782e-05,0.997251849121764,0.9999958210732464,3.9384430684295815e-06,0.00013960758249695885,0.0026085399327953904,3.3629437779964567e-09,2.404836852198647e-07
0.0001,0.9966860607964443,0.9999870781104581,1.266314257664141e-05,0.00017235298835463966,0.0031415776508303323,8.564370822638562e-09,2.5874696538237975e-07
0.00021544346900318823,0.9953576305750313,0.9999411785454841,5.851765733006228e-05,0.00025015389617830407,0.00439219076600234,2.476278783063459e-08,3.0379718583116507e-07
0.00046415888336127773,0.9919806465861811,0.9995128144403506,0.0004867610681718304,0.00045019552793464844,0.007569074013847812,8.387203644563606e-08,4.2449147772794967e-07
0.001,0.9820770966371768,0.9906974530284157,0.009301781104426018,0.0010401406898160996,0.0168824381646192,3.2450838781924535e-07,7.658671583901757e-07
0.002154434690031882,0.9476575345178196,0.8093305798312967,0.19066800395818972,0.0031109960294568107,0.04923033081730563,1.138635417899755e-06,1.4162105134112066e-06
0.004641588833612777,0.8511789800293433,0.8275193618081024,0.1724771577762202,0.009321299320239071,0.13949693990970644,2.780740711146999e-06,3.4804156773698105e-06
0.01,0.831785064448088,0.9729971126432032,0.026992403940249265,0.012092641415581045,0.15611996641018674,2.327726144193988e-06,1.0483416547637172e-05
