log(fHD),log(n_H)
-5.079184865153228,-1.0457087556827034
-5.075132251640048,-1.0440528406003244
-5.074868678585913,-1.118373846189095
-5.074638472335769,-1.1182767295615457
-5.0743667933989185,-1.118179612934015
-5.074053780893538,-1.1180824963064728
-5.073699585162683,-1.1179853796789183
-5.073304368073469,-1.1178882630513522
-5.072868306024285,-1.1177911464237742
-5.072391613995933,-1.1176940297961844
-5.071874484969831,-1.1175969131685826
-5.07131712556354,-1.117499796540969
-5.07071975304976,-1.1174026799133439
-5.070082595155756,-1.1173055632857067
-5.069405889854571,-1.1172084466580579
-5.068689885148434,-1.1171113300303974
-5.067934838844743,-1.1170142134027254
-5.0671410183250565,-1.1169170967750413
-5.066308700307482,-1.1168199801473455
-5.06543817060292,-1.1167228635196385
-5.064529723865571,-1.1166257468919194
-5.06358366333815,-1.116528630264189
-5.062600300592235,-1.1164315136364469
-5.061579955264219,-1.116334397008693
-5.060522954787262,-1.1162372803809277
-5.059429634119725,-1.116140163753151
-5.0583003354704985,-1.1160430471253624
-5.057135408021667,-1.1159459304975625
-5.055935207648949,-1.115848813869751
-5.054700096640332,-1.115751697241928
-5.053430443413316,-1.1156545806140934
-5.05212662223121,-1.1155574639862478
-5.050789012918844,-1.1154603473583904
-5.049418000578135,-1.115363230730522
-5.048013975303874,-1.115266114102642
-5.046577331900117,-1.1151689974747507
-5.045108469597553,-1.115071880846848
-5.043607791772205,-1.114974764218934
-5.042075705665802,-1.1148776475910087
-5.040512622108168,-1.114780530963072
-5.038918955241936,-1.114683414335124
-5.037295122249906,-1.114586297707165
-5.035641543085326,-1.1144891810791946
-5.033958640205395,-1.1143920644512129
-5.032246838308231,-1.1142949478232202
-5.030506564073582,-1.1141978311952165
-5.028738245907494,-1.114100714567201
-5.026942313691173,-1.114003597939175
-5.025119198534241,-1.1139064813111377
-5.023269332532596,-1.113809364683089
-5.021393148531037,-1.1137122480550294
-5.019491079890837,-1.1136151314269587
-5.017563560262799,-1.1135180147988772
-5.015611023368474,-1.1134208981707847
-5.013633902780592,-1.1133237815426809
-5.011632631710748,-1.1132266649145661
-5.009607642803669,-1.1131295482864405
-5.0075593679371195,-1.113032431658304
-5.005488238027536,-1.1129353150301564
-5.003394682841422,-1.1128381984019982
-5.001279130812584,-1.1127410817738288
-4.9991420088652205,-1.112643965145649
-4.9969837422429,-1.1125468485174579
-4.994804754343444,-1.112449731889256
-4.9926054665597075,-1.1123526152610435
-4.990386298126272,-1.1122554986328201
-4.988147665972012,-1.1121583820045857
-4.985889996325447,-1.1120612653763406
-4.9836137223750665,-1.1119641487480851
-4.981319251895313,-1.1118670321198187
-4.979006991269031,-1.1117699154915415
-4.976677343914864,-1.1116727988632542
-4.974330710174576,-1.1115756822349558
-4.971967487205927,-1.1114785656066468
-4.96958806888104,-1.1113814489783276
-4.967192845690162,-1.1112843323499975
-4.9647822046507475,-1.1111872157216565
-4.962356529221768,-1.111090099093305
-4.959916199223159,-1.1109929824649436
-4.957461590760296,-1.1108958658365715
-4.954993076153418,-1.1107987492081888
-4.952511023871868,-1.1107016325797958
-4.950015798473072,-1.1106045159513922
-4.947507760546119,-1.1105073993229784
-4.944987266659858,-1.1104102826945539
-4.942454669315373,-1.1103131660661192
-4.9399103169027425,-1.1102160494376743
-4.937354553661957,-1.1101189328092187
-4.934787719647877,-1.1100218161807531
-4.93221015069912,-1.109924699552277
-4.929622178410756,-1.109827582923791
-4.92702413011069,-1.1097304662952943
-4.924416328839626,-1.1096333496667876
-4.921799093334481,-1.109536233038271
-4.919172738015136,-1.1094391164097437
-4.916537572974415,-1.1093419997812064
-4.913893903971177,-1.1092448831526591
-4.911242032426382,-1.1091477665241019
-4.908582255422063,-1.1090506498955341
-4.905914865703052,-1.108953533266957
-4.90324015168136,-1.1088564166383692
-4.9005583974431275,-1.1087593000097715
-4.897869882757997,-1.1086621833811636
-4.895174883090834,-1.108565066752546
-4.89247366961568,-1.1084679501239183
-4.88976650923184,-1.1083708334952806
-4.887053664581999,-1.108273716866633
-4.884335394072284,-1.1081766002379758
-4.881611951894156,-1.1080794836093086
-4.878883588048053,-1.1079823669806315
-4.876150548368697,-1.107885250351944
-4.873413074551959,-1.1077881337232474
-4.870671404183211,-1.1076910170945407
-4.8679257707670756,-1.1075939004658242
-4.865176403758487,-1.107496783837098
-4.862423528594994,-1.107399667208362
-4.859667366730218,-1.1073025505796164
-4.856908135668391,-1.1072054339508608
-4.854146048999917,-1.1071083173220955
-4.851381316437856,-1.107011200693321
-4.848614143855296,-1.1069140840645364
-4.845844733323523,-1.1068169674357426
-4.843073283150934,-1.106719850806939
-4.840299987922635,-1.106622734178126
-4.837525038540655,-1.1065256175493032
-4.83474862226473,-1.1064285009204713
-4.831970940432218,-1.1063313842916296
-4.829192187839588,-1.1062342676627785
-4.826412540029415,-1.1061371510339182
-4.823632170021638,-1.106040034405048
-4.820851247401551,-1.1059429177761688
-4.8180699383630285,-1.10584580114728
-4.8152884057519545,-1.105748684518382
-4.812506809109832,-1.1056515678894745
-4.809725304717532,-1.1055544512605577
-4.806944045639131,-1.1054573346316319
-4.804163181765819,-1.1053602180026967
-4.801382859859836,-1.1052631013737522
-4.798603223598389,-1.1051659847447985
-4.795824413617553,-1.1050688681158356
-4.793046567556089,-1.1049717514868636
-4.790269820099174,-1.1048746348578824
-4.787494303022009,-1.104777518228892
-4.7847201452332815,-1.1046804015998923
-4.781947472818452,-1.104583284970884
-4.779176409082848,-1.104486168341866
-4.7764070745945535,-1.1043890517128396
-4.773639587227045,-1.1042919350838039
-4.7708740622015835,-1.1041948184547592
-4.768110612129339,-1.1040977018257057
-4.765349347053212,-1.104000585196643
-4.76259037448936,-1.1039034685675717
-4.759833799468403,-1.1038063519384913
-4.757079724576296,-1.1037092353094018
-4.754328249994849,-1.1036121186803038
-4.751579473541897,-1.1035150020511968
-4.748833490711099,-1.103417885422081
-4.746090394711353,-1.1033207687929565
-4.743350276505833,-1.1032236521638232
-4.740613224850617,-1.103126535534681
-4.73787932633292,-1.10302941890553
-4.735148665408909,-1.1029323022763706
-4.732421324441107,-1.1028351856472025
-4.729697383735363,-1.1027380690180255
-4.726976921577406,-1.1026409523888403
-4.724260014268954,-1.1025438357596462
-4.721546736163392,-1.1024467191304437
-4.71883715970101,-1.1023496025012323
-4.716131355443796,-1.1022524858720124
-4.713429392109781,-1.1021553692427841
-4.710731336606939,-1.1020582526135474
-4.7080372540666415,-1.101961135984302
