log(fHD),log(n_H)
-4.7053472078766525,-1.1018640193550482
-4.702661259713683,-1.1017669027257861
-4.699979469575489,-1.1016697860965157
-4.697301895812515,-1.1015726694672368
-4.694628595159103,-1.1014755528379494
-4.691959622764231,-1.1013784362086538
-4.6892950322218185,-1.1012813195793498
-4.686634875600579,-1.1011842029500376
-4.68397920347343,-1.1010870863207167
-4.681328064946455,-1.100989969691388
-4.678681507687433,-1.100892853062051
-4.676039577953919,-1.1007957364327057
-4.673402320620895,-1.1006986198033522
-4.670769800733312,-1.1006015031739906
-4.668142071097971,-1.100504386544621
-4.665519171705662,-1.1004072699152432
-4.662901142038835,-1.1003101532858575
-4.6602880203290145,-1.1002130366564635
-4.657679843581947,-1.1001159200270618
-4.655076647602327,-1.1000188033976517
-4.65247846701811,-1.0999216867682338
-4.649885335299274,-1.099824570138808
-4.647297284752105,-1.0997274535093744
-4.64471434660841,-1.0996303368799327
-4.6421365510245876,-1.0995332202504833
-4.639563927095867,-1.099436103621026
-4.636996502878244,-1.0993389869915606
-4.634434305410049,-1.0992418703620876
-4.6318773607331245,-1.099144753732607
-4.62932569391364,-1.099047637103118
-4.626779329062539,-1.098950520473622
-4.624238289355618,-1.098853403844118
-4.621702597053255,-1.0987562872146064
-4.619172273519781,-1.098659170585087
-4.6166473392425065,-1.09856205395556
-4.614127813850397,-1.0984649373260253
-4.611613716132418,-1.0983678206964833
-4.609105064055545,-1.0982707040669335
-4.606601874782439,-1.098173587437376
-4.604104164688799,-1.0980764708078112
-4.601611949380398,-1.0979793541782388
-4.599125243709803,-1.0978822375486588
-4.59664406179278,-1.0977851209190717
-4.594168417024397,-1.097688004289477
-4.5916983220948255,-1.0975908876598746
-4.589233789004846,-1.097493771030265
-4.586774829081055,-1.0973966544006482
-4.584321452990798,-1.0972995377710237
-4.581873670756804,-1.0972024211413922
-4.579431491771551,-1.097105304511753
-4.576994924811359,-1.0970081878821067
-4.574563978050204,-1.0969110712524532
-4.572138659073275,-1.0968139546227926
-4.56971897489027,-1.096716837993125
-4.56730493194843,-1.0966197213634499
-4.564896536145325,-1.0965226047337675
-4.5624937928413924,-1.0964254881040785
-4.56009670687223,-1.0963283714743821
-4.5577052825606446,-1.0962312548446784
-4.555319523728478,-1.0961341382149679
-4.552939433708187,-1.0960370215852502
-4.550565015354203,-1.0959399049555256
-4.548196271054071,-1.095842788325794
-4.545833202739358,-1.0957456716960554
-4.54347581189636,-1.09564855506631
-4.541124099576584,-1.0955514384365574
-4.538778066407029,-1.0954543218067982
-4.536437712600259,-1.0953572051770317
-4.534103037964279,-1.0952600885472588
-4.531774041912208,-1.0951629719174791
-4.529450723471764,-1.0950658552876924
-4.527133081294555,-1.0949687386578988
-4.524821137173001,-1.0948716220280987
-4.522514898315728,-1.0947745053982916
-4.520214361418318,-1.0946773887684778
-4.517919523573151,-1.0945802721386575
-4.5156303815410075,-1.094483155508831
-4.513346931759293,-1.0943860388789972
-4.511069170350101,-1.094288922249157
-4.508797093128099,-1.0941918056193105
-4.50653069560827,-1.0940946889894574
-4.504269973013478,-1.0939975723595976
-4.502014920281891,-1.0939004557297314
-4.499765532074248,-1.0938033390998585
-4.497521802780971,-1.0937062224699794
-4.495283726529139,-1.093609105840094
-4.49305129718931,-1.093511989210202
-4.490824508382208,-1.0934148725803037
-4.488603353485268,-1.093317755950399
-4.486387825639045,-1.0932206393204877
-4.484177917753492,-1.0931235226905707
-4.481973622514105,-1.0930264060606474
-4.479774932387942,-1.0929292894307174
-4.4775818396295115,-1.0928321728007813
-4.475394336286547,-1.0927350561708387
-4.4732124142056495,-1.0926379395408903
-4.4710360650378185,-1.0925408229109357
-4.468865280243867,-1.0924437062809749
-4.466700051099718,-1.092346589651008
-4.464540368701592,-1.092249473021035
-4.462386223971087,-1.0921523563910562
-4.4602376076601455,-1.092055239761071
-4.458094510355922,-1.09195812313108
-4.4559569224855435,-1.091861006501083
-4.453824834320772,-1.0917638898710798
-4.451698235982562,-1.0916667732410708
-4.449577117445529,-1.091569656611056
-4.447461468542316,-1.091472539981035
-4.445351278967868,-1.0913754233510082
-4.443246538283617,-1.0912783067209757
-4.441147235921578,-1.0911811900909374
-4.439053361188351,-1.0910840734608933
-4.436964903269043,-1.0909869568308432
-4.434881851231105,-1.0908898402007876
-4.43280419402808,-1.090792723570726
-4.430731920503279,-1.0906956069406588
-4.428665019393368,-1.090598490310586
-4.42660347933189,-1.0905013736805074
-4.4245472888526916,-1.0904042570504235
-4.422496436393293,-1.0903071404203337
-4.420450910298177,-1.0902100237902383
-4.4184106988220035,-1.0901129071601374
-4.416375790132759,-1.090015790530031
-4.414346172314831,-1.089918673899919
-4.412321833372023,-1.0898215572698013
-4.410302761230497,-1.089724440639678
-4.408288943741652,-1.0896273240095495
-4.406280368684938,-1.0895302073794157
-4.404277023770614,-1.0894330907492762
-4.4022788966424375,-1.0893359741191315
-4.400285974880296,-1.0892388574889813
-4.398298269792654,-1.0891417408588258
-4.396315779648201,-1.089044624228665
-4.394338490826057,-1.0889475075984991
-4.392366390521895,-1.088850390968328
-4.390399465880962,-1.0887532743381516
-4.38843770400037,-1.08865615770797
-4.386481091931331,-1.088559041077783
-4.3845296166813466,-1.0884619244475913
-4.382583265216345,-1.0883648078173942
-4.3806420244627695,-1.0882676911871922
-4.378705881309619,-1.088170574556985
-4.376774822610442,-1.0880734579267728
-4.374848835185291,-1.0879763412965555
-4.372927905822618,-1.0878792246663336
-4.371012021281142,-1.0877821080361063
-4.369101168291659,-1.0876849914058742
-4.367195333558828,-1.0875878747756371
-4.365294503762892,-1.087490758145395
-4.36339866556138,-1.0873936415151482
-4.36150780559076,-1.087296524884897
-4.35962191046805,-1.0871994082546401
-4.3577409667924005,-1.0871022916243789
-4.355864961146631,-1.0870051749941128
-4.353993880098739,-1.0869080583638422
-4.352127710203359,-1.0868109417335665
-4.350266438003206,-1.086713825103286
-4.34841005003047,-1.086616708473001
-4.346558532808181,-1.0865195918427113
-4.344711872851543,-1.0864224752124172
-4.342870056669239,-1.0863253585821182
-4.341033070764692,-1.0862282419518146
-4.339200901637314,-1.0861311253215065
-4.337373535783707,-1.0860340086911937
-4.335550959698844,-1.0859368920608765
-4.3337331598772275,-1.0858397754305549
-4.331920122813997,-1.0857426588002286
-4.330111835006039,-1.0856455421698978
-4.328308282953041,-1.0855484255395629
-4.326509453158545,-1.0854513089092235
-4.3247153321309515,-1.0853541922788792
-4.322925906384518,-1.0852570756485314
-4.321141162440318,-1.0851599590181786
-4.3193610868271834,-1.085062842387822
-4.317585666082624,-1.0849657257574605
-4.3158148867537145,-1.0848686091270952
-4.3140487353979715,-1.0847714924967253
-4.312287198584196,-1.0846743758663513
-4.3105302628933035,-1.084577259235973
-4.308777914919127,-1.0844801426055908
-4.307030141269202,-1.084383025975204
-4.305286928565526,-1.0842859093448134
-4.303548263445308,-1.0841887927144187
-4.301814132561687,-1.0840916760840198
-4.300084522584435,-1.083994559453617
-4.298359420200648,-1.0838974428232098
-4.2966388121154075,-1.0838003261927984
-4.294922685052432,-1.0837032095623835
-4.293211025754709,-1.0836060929319644
-4.291503820985104,-1.0835089763015415
-4.2898010797219985,-1.0834118596711144
-4.28810280487862,-1.0833147430406835
-4.286408982020625,-1.0832176264102487
-4.284719597832038,-1.0831205097798104
-4.283034639020795,-1.083023393149368
-4.281354092319242,-1.0829262765189218
-4.279677944484631,-1.082829159888472
-4.278006182299599,-1.0827320432580185
-4.276338792572621,-1.0826349266275614
-4.274675762138471,-1.0825378099971006
-4.273017077858644,-1.082440693366636
-4.27136272662179,-1.082343576736168
-4.269712695344111,-1.082246460105696
-4.268066970969766,-1.0821493434752207
-4.26642554047125,-1.0820522268447417
-4.264788390849764,-1.0819551102142595
-4.263155509135582,-1.0818579935837735
-4.261526882388389,-1.081760876953284
-4.259902497697625,-1.081663760322791
-4.258282342182807,-1.0815666436922948
-4.2566664029938455,-1.0814695270617949
-4.255054667311347,-1.0813724104312916
-4.25344712234691,-1.0812752938007848
-4.251843755343406,-1.081178177170275
-4.25024455357525,-1.0810810605397616
-4.248649504348675,-1.0809839439092448
-4.247058595001975,-1.080886827278725
-4.245471812905755,-1.0807897106482018
-4.243889145463168,-1.0806925940176753
-4.24231058011014,-1.0805954773871458
-4.240736104315588,-1.080498360756613
-4.239165705581633,-1.0804012441260769
-4.237599371443798,-1.0803041274955376
-4.236037089471202,-1.0802070108649953
-4.234478847266748,-1.0801098942344498
-4.232924632467299,-1.080012777603901
-4.2313744327438485,-1.0799156609733496
-4.229828235801683,-1.079818544342795
-4.22828602938054,-1.0797214277122373
-4.226747801254752,-1.0796243110816768
-4.22521353923339,-1.079527194451113
-4.2236832311604005,-1.0794300778205461
-4.222156864914731,-1.0793329611899765
-4.220634428410454,-1.079235844559404
-4.21911590959688,-1.0791387279288285
-4.217601296458669,-1.0790416112982502
-4.2160905770159305,-1.078944494667669
-4.214583739324326,-1.0788473780370849
-4.213080771475156,-1.0787502614064979
-4.2115816615954484,-1.0786531447759082
-4.210086397848038,-1.078556028145316
-4.208594968431642,-1.078458911514721
-4.207107361580931,-1.0783617948841229
-4.205623565566591,-1.0782646782535221
-4.204143568695389,-1.078167561622919
-4.202667359310219,-1.0780704449923129
-4.20119492579016,-1.0779733283617041
-4.199726256550521,-1.077876211731093
-4.198261340042877,-1.077779095100479
-4.196800182230611,-1.0776819784698624
-4.195342797924294,-1.0775848618392436
-4.193889173906204,-1.0774877452086224
-4.1924392985861685,-1.0773906285779984
-4.190993160411769,-1.077293511947372
-4.189550747868335,-1.0771963953167436
-4.188112049478948,-1.0770992786861124
-4.186677053804434,-1.077002162055479
-4.185245749443353,-1.0769050454248434
-4.183818125031989,-1.0768079287942054
-4.182394169244334,-1.0767108121635651
-4.1809738707920685,-1.0766136955329229
-4.1795572184245415,-1.076516578902278
-4.178144200928744,-1.076419462271631
-4.17673480712928,-1.0763223456409818
-4.1753290258883355,-1.0762252290103307
-4.173926846105651,-1.076128112379677
-4.172528256718477,-1.0760309957490213
-4.171133246701538,-1.0759338791183637
-4.169741805066991,-1.0758367624877037
-4.168353920864383,-1.0757396458570416
-4.1669695831806,-1.0756425292263778
-4.165588781139821,-1.0755454125957118
-4.164211503903727,-1.0754482959650438
-4.162837740673106,-1.0753511793343737
-4.161467480688696,-1.0752540627037017
-4.160100713228734,-1.0751569460730277
-4.158737427608447,-1.0750598294423517
-4.157377613179988,-1.074962712811674
-4.156021259332376,-1.0748655961809945
-4.154668355491426,-1.074768479550313
-4.153318891119683,-1.0746713629196296
-4.1519728557163535,-1.0745742462889443
-4.150630238817229,-1.0744771296582574
-4.14929102999462,-1.0743800130275687
-4.147955218857273,-1.0742828963968782
-4.146622795050303,-1.0741857797661856
-4.1452937482551055,-1.0740886631354918
-4.143968068189285,-1.073991546504796
-4.14264574460657,-1.0738944298740987
-4.14132676729673,-1.0737973132433993
-4.140011126085496,-1.0737001966126989
-4.138698810834468,-1.0736030799819964
-4.137389811441033,-1.0735059633512927
-4.13608411783828,-1.0734088467205871
-4.134781719994903,-1.07331173008988
-4.133482607915118,-1.0732146134591716
-4.132186771638567,-1.0731174968284614
-4.1308942012402285,-1.0730203801977496
-4.129604886830323,-1.0729232635670365
-4.128318818554215,-1.072826146936322
-4.127035986592325,-1.0727290303056058
-4.125756381160025,-1.0726319136748885
-4.124479992507546,-1.0725347970441697
-4.1232068109198785,-1.0724376804134492
-4.121936826716669,-1.0723405637827277
-4.120670030252128,-1.0722434471520048
-4.119406411914924,-1.0721463305212804
-4.1181459621280805,-1.0720492138905546
-4.1168886793014705,-1.0719520972598278
-4.115634597846673,-1.0718549806290996
-4.1143837058268256,-1.0717578639983703
-4.113135993581105,-1.0716607473676396
-4.111891451483993,-1.0715636307369083
-4.110650069945154,-1.0714665141061757
-4.109411839409315,-1.071369397475442
-4.10817675035614,-1.0712722808447073
-4.106944793300115,-1.0711751642139715
-4.105715958790419,-1.0710780475832349
-4.104490237410804,-1.0709809309524974
-4.103267619779475,-1.0708838143217587
-4.102048096548961,-1.0707866976910192
-4.100831658405995,-1.0706895810602788
-4.099618296071391,-1.0705924644295375
-4.0984080002999175,-1.0704953477987955
-4.097200761880176,-1.0703982311680522
-4.0959965716344735,-1.0703011145373083
-4.094795420418703,-1.0702039979065636
-4.093597299122213,-1.070106881275818
-4.0924021986676875,-1.070009764645072
-4.091210110011019,-1.0699126480143248
-4.090021024141183,-1.069815531383577
-4.088834932080116,-1.0697184147528285
-4.0876518248825855,-1.0696212981220794
-4.086471693636071,-1.0695241814913294
-4.085294529460634,-1.0694270648605786
-4.084120323508794,-1.0693299482298275
-4.082949066965405,-1.0692328315990758
-4.081780751047529,-1.0691357149683234
-4.080615367004311,-1.0690385983375703
-4.079452906116853,-1.0689414817068168
-4.078293359698092,-1.0688443650760624
-4.077136719092672,-1.0687472484453078
-4.075982975676818,-1.0686501318145525
-4.0748321208582166,-1.0685530151837965
-4.073684146075887,-1.0684558985530401
-4.072539042800055,-1.0683587819222837
-4.071396802532033,-1.0682616652915264
-4.070257416804094,-1.068164548660769
-4.069120877179345,-1.0680674320300108
-4.067987175251605,-1.0679703153992526
-4.06685630264528,-1.0678731987684935
-4.065728251015242,-1.0677760821377342
-4.064603012046703,-1.0676789655069747
-4.063480577455091,-1.0675818488762148
-4.062360938985926,-1.0674847322454548
-4.0612440884147025,-1.067387615614694
-4.060130017546759,-1.0672904989839334
-4.059018718217162,-1.0671933823531723
-4.0579101822905805,-1.0670962657224112
-4.0568044016611635,-1.0669991490916497
-4.055701368252419,-1.066902032460888
-4.054601074017092,-1.0668049158301263
-4.053503510937044,-1.066707799199364
-4.052408671023131,-1.0666106825686021
-4.051316546315083,-1.0665135659378395
-4.0502271288813825,-1.0664164493070774
-4.049140410819144,-1.0663193326763145
-4.048056384253999,-1.066222216045552
-4.046975095060737,-1.0661250994147893
-4.04589654190583,-1.0660279827840269
-4.044820716275126,-1.0659308661532643
-4.043747610139623,-1.0658337495225023
-4.042677215499867,-1.0657366328917404
-4.041609524385811,-1.0656395162609782
-4.04054452885668,-1.0655423996302167
-4.039482221000845,-1.0654452829994554
-4.038422592935683,-1.0653481663686941
-4.037365636807451,-1.0652510497379333
-4.036311344791146,-1.0651539331071727
-4.035259709090385,-1.0650568164764123
-4.034210721937264,-1.0649596998456525
-4.033164375592233,-1.0648625832148926
-4.032120662343968,-1.0647654665841335
-4.031079574509238,-1.0646683499533744
-4.030041104432778,-1.0645712333226158
-4.029005244487161,-1.0644741166918577
-4.027971987072671,-1.0643770000611
-4.026941324617176,-1.0642798834303426
-4.025913249575998,-1.0641827667995856
-4.024887754431795,-1.0640856501688294
-4.023864831694427,-1.0639885335380734
-4.022844473900834,-1.0638914169073181
-4.021826673614917,-1.0637943002765633
-4.0208114234274035,-1.0636971836458087
-4.019798715955735,-1.0636000670150552
-4.018788543843938,-1.0635029503843019
-4.017780899762501,-1.0634058337535492
-4.016775776408258,-1.063308717122797
-4.015773166504262,-1.0632116004920455
-4.0147730627996685,-1.0631144838612947
-4.013775458069611,-1.0630173672305447
-4.012780345115085,-1.0629202505997952
-4.0117877167628295,-1.0628231339690464
-4.010797565865203,-1.0627260173382982
-4.009809885300072,-1.062628900707551
-4.008824667970689,-1.0625317840768043
-4.007841906805579,-1.062434667446058
-4.006861594758419,-1.062337550815313
-4.0058837248079255,-1.0622404341845686
-4.004908289957738,-1.0621433175538249
-4.003935283236305,-1.062046200923082
-4.002964697696767,-1.06194908429234
-4.001996526416846,-1.0618519676615987
-4.00103076249873,-1.0617548510308583
-4.000067399068961,-1.0616577344001188
-3.9991064292783225,-1.06156061776938
-3.99814784630173,-1.0614635011386422
-3.997191643338115,-1.0613663845079053
-3.996237813610321,-1.0612692678771691
-3.9952863503649865,-1.0611721512464343
-3.9943372468724396,-1.0610750346157
-3.9933904964265894,-1.0609779179849668
-3.992446092344814,-1.0608808013542346
-3.991504027967856,-1.0607836847235035
-3.9905642966597124,-1.0606865680927735
-3.9896268918075295,-1.0605894514620442
-3.9886918068214943,-1.060492334831316
-3.987759074098922,-1.060395218200589
-3.986828723143626,-1.0602981015698631
-3.9859007457183737,-1.0602009849391387
-3.984975134988448,-1.0601038683084154
-3.9840518841435135,-1.0600067516776934
-3.9831309863974944,-1.0599096350469728
-3.9822124349884533,-1.0598125184162537
-3.9812962231784716,-1.0597154017855361
-3.9803823442535324,-1.0596182851548197
-3.9794707915234007,-1.059521168524105
-3.978561558321509,-1.0594240518933917
-3.977654638004838,-1.05932693526268
-3.9767500239538043,-1.0592298186319695
-3.9758477095721396,-1.0591327020012604
-3.9749476882867834,-1.0590355853705529
-3.9740499535477625,-1.058938468739847
-3.973154498828084,-1.0588413521091429
-3.9722613176236163,-1.05874423547844
-3.971370403452984,-1.0586471188477387
-3.970481749857451,-1.0585500022170389
-3.9695953504008137,-1.0584528855863409
-3.9687111986692885,-1.0583557689556442
-3.9678292882714046,-1.0582586523249493
-3.966949612837894,-1.0581615356942562
-3.9660721660215845,-1.0580644190635644
-3.9651969414972914,-1.0579673024328744
-3.9643239329617113,-1.057870185802186
-3.9634531341333155,-1.0577730691714993
-3.962584538752245,-1.0576759525408144
-3.9617181405802055,-1.057578835910131
-3.9608539334003625,-1.0574817192794497
-3.9599919110172372,-1.0573846026487697
-3.959132067256606,-1.0572874860180916
-3.9582743959653954,-1.0571903693874152
-3.95741889101158,-1.0570932527567405
-3.9565655462840836,-1.0569961361260676
-3.9557143556926757,-1.0568990194953967
-3.9548653131678737,-1.0568019028647275
-3.9540184126608415,-1.05670478623406
-3.953173648143291,-1.0566076696033944
-3.952331013607385,-1.056510552972731
-3.951490503065638,-1.056413436342069
-3.9506521105508194,-1.056316319711409
-3.949815830115856,-1.056219203080751
-3.9489816558337383,-1.0561220864500949
-3.948149581797421,-1.0560249698194404
-3.9473196021197317,-1.0559278531887881
-3.9464917109332753,-1.0558307365581376
-3.9456659023903393,-1.055733619927489
-3.944842170662801,-1.0556365032968427
-3.944020509942035,-1.0555393866661982
-3.94320091443882,-1.0554422700355555
-3.942383378383248,-1.0553451534049147
-3.941567896024633,-1.055248036774276
-3.9407544616314207,-1.0551509201436393
-3.939943069491097,-1.0550538035130046
-3.9391337139101,-1.054956686882372
-3.938326389213729,-1.0548595702517418
-3.9375210897460584,-1.0547624536211135
-3.9367178197894095,-1.0546653369904868
-3.9359166580239817,-1.0545682203598625
-3.935117595957069,-1.0544711037292407
-3.9343206275770726,-1.0543739870986213
-3.933525746892909,-1.0542768704680046
-3.932732947933897,-1.05417975383739
-3.9319422247496574,-1.054082637206778
-3.9311535714100065,-1.0539855205761686
-3.9303669820048563,-1.0538884039455616
-3.929582450644113,-1.0537912873149573
-3.9287999714575745,-1.053694170684356
-3.9280195385948344,-1.0535970540537565
-3.9272411462251786,-1.0534999374231597
-3.926464788537489,-1.0534028207925656
-3.9256904597401445,-1.0533057041619738
-3.9249181540609253,-1.0532085875313848
-3.9241478657469147,-1.0531114709007985
-3.9233795890644023,-1.0530143542702146
-3.9226133182987915,-1.0529172376396339
-3.921849047754502,-1.0528201210090553
-3.921086771754877,-1.0527230043784792
-3.9203264846420893,-1.052625887747906
-3.9195681807770493,-1.0525287711173357
-3.9188118545393107,-1.0524316544867678
-3.9180575003269804,-1.0523345378562026
-3.917305112556628,-1.05223742122564
-3.916554685663193,-1.0521403045950801
-3.9158062140998973,-1.0520431879645231
-3.915059692338155,-1.0519460713339686
-3.9143151148674837,-1.051848954703417
-3.913572476195416,-1.0517518380728683
-3.9128317708474114,-1.051654721442322
-3.9120929933667727,-1.0515576048117787
-3.911356138314556,-1.0514604881812382
-3.910621200269485,-1.0513633715507003
-3.909888173827868,-1.0512662549201652
-3.909157053603512,-1.0511691382896333
-3.908427834227639,-1.0510720216591036
-3.9077005103488007,-1.050974905028577
-3.9069750766327975,-1.0508777883980533
-3.9062515277625955,-1.0507806717675323
-3.9055298584382436,-1.0506835551370144
-3.904810063376794,-1.0505864385064994
-3.9040921373122184,-1.050489321875987
-3.9033760749953297,-1.0503922052454775
-3.9026618711937036,-1.0502950886149711
-3.9019495206915944,-1.0501979719844672
-3.9012390182898615,-1.0501008553539664
-3.9005303588058875,-1.0500037387234684
-3.8998235370735026,-1.0499066220929736
-3.8991185479429062,-1.0498095054624814
-3.8984153862805897,-1.0497123888319924
-3.897714046969261,-1.0496152722015062
-3.8970145249077692,-1.049518155571023
-3.8963168150110286,-1.0494210389405425
-3.8956209122099428,-1.0493239223100652
-3.894926811451333,-1.0492268056795908
-3.894234507697862,-1.0491296890491193
-3.893543995927961,-1.0490325724186509
-3.8928552711357582,-1.0489354557881854
-3.8921684037239936,-1.0488383391577232
-3.891483428654447,-1.0487412225272643
-3.890800339368457,-1.0486441058968086
-3.8901191303686256,-1.0485469892663564
-3.889439796175434,-1.0484498726359082
-3.888762331327143,-1.048352756005463
-3.888086730379707,-1.0482556393750218
-3.8874129879066834,-1.0481585227445838
-3.886741098499146,-1.0480614061141496
-3.886071056765596,-1.047964289483719
-3.885402857331877,-1.0478671728532918
-3.8847364948410874,-1.0477700562228685
-3.8840719639534944,-1.0476729395924484
-3.8834092593464518,-1.0475758229620322
-3.8827483757143124,-1.0474787063316195
-3.8820893077683465,-1.0473815897012104
-3.881432050236658,-1.0472844730708049
