"T [K](log(nH [cm-3])), created by Plot Digitizer, 2.6.8"
"Date: 4/17/18, 2:04:46 PM"


169
log(nH [cm-3]),T [K]
-0.968036,316.223,
-0.854115,366.557,
-0.713918,433.546,
-0.556231,505.929,
-0.416041,594.382,
-0.319696,639.927,
-0.179600,684.331,
-0.0132335,741.703,
0.118045,741.646,
0.223021,707.538,
0.310467,657.111,
0.371690,631.132,
0.467874,578.326,
0.546548,526.396,
0.625222,479.129,
0.677660,444.991,
0.765039,386.428,
0.843653,331.096,
0.931052,293.375,
0.983424,254.771,
1.07961,235.028,
1.08831,221.239,
1.15822,200.026,
1.20189,183.296,
1.26307,167.963,
1.30671,148.832,
1.37663,134.561,
1.42904,121.660,
1.49895,109.259,
1.56013,100.794,
1.60376,88.7153,
1.67367,79.6721,
1.71730,70.1245,
1.78721,62.5547,
1.83957,53.9597,
1.91821,47.4923,
1.97933,40.9667,
2.04048,36.5446,
2.11911,31.9492,
2.18899,27.9319,
2.28515,24.7495,
2.37256,22.2264,
2.46872,19.8269,
2.59116,18.1677,
2.73111,16.7594,
2.89735,15.9881,
3.06359,15.3550,
3.23862,15.1486,
3.42243,15.5595,
3.58877,16.3069,
3.74636,17.3215,
3.89523,19.0278,
4.07913,21.1844,
4.35935,24.8861,
4.56077,28.2704,
4.71839,30.8472,
5.00737,36.4814,
5.18250,40.0744,
5.30510,43.1444,
5.46273,47.3941,
5.59404,49.0091,
5.75164,52.0585,
5.97925,55.6679,
6.17179,55.6617,
6.34685,56.4087,
6.51310,54.9080,
6.65310,53.0902,
6.79306,49.3049,
6.92424,44.5758,
6.99416,40.5734,
7.10783,36.4366,
7.23023,32.0687,
7.35265,28.9930,
7.44882,26.0372,
7.52750,23.8589,
7.62368,21.8627,
7.77234,19.2415,
7.89479,17.8698,
8.05225,16.4844,
8.24471,15.3086,
8.39347,14.9015,
8.61224,14.5046,
8.83978,14.4056,
9.01485,14.7964,
9.25994,15.4027,
9.44374,15.6093,
9.61881,16.0328,
9.77639,16.8031,
10.0215,17.2582,
10.2578,18.2084,
10.5204,19.4705,
10.7655,20.4049,
11.0807,21.9656,
11.2820,23.0204,
11.5709,24.4508,
11.7635,25.6251,
11.9211,26.6765,
12.1049,27.7705,
12.2625,29.4984,
12.4113,31.7578,
12.4814,34.6541,
12.6128,39.1048,
12.7180,43.8324,
12.7881,48.8036,
12.9107,54.3370,
13.0159,63.8382,
13.1211,73.0124,
13.2350,82.9457,
13.3226,91.7337,
13.4978,109.227,
13.6029,119.186,
13.7519,140.967,
13.9358,163.399,
14.0935,184.382,
14.2599,212.293,
14.3738,234.782,
14.5490,279.554,
14.8117,344.216,
15.0483,435.383,
15.2848,539.710,
15.4162,617.262,
15.5213,687.255,
15.6089,760.068,
15.7403,846.241,
15.9067,961.341,
16.0469,1099.47,
16.1432,1183.72,
16.2921,1309.09,
16.4673,1507.25,
16.6162,1633.63,
16.7563,1794.56,
16.8876,1919.09,
17.1328,2150.92,
17.2904,2284.75,
17.5093,2459.65,
17.8682,2719.81,
18.1308,2927.93,
18.3847,3130.89,
18.5335,3237.55,
18.6823,3393.11,
18.8574,3532.30,
19.0675,3777.25,
19.2514,3958.67,
19.4089,4121.09,
19.5928,4436.64,
19.7416,4712.71,
19.8817,4972.47,
20.1181,5389.12,
20.2845,5801.82,
20.3983,6080.73,
20.5472,6590.58,
20.7223,7288.48,
20.8449,7742.12,
21.0550,8677.57,
21.1777,9661.44,
21.3091,10756.8,
21.4317,12057.1,
21.5631,13697.3,
21.6683,15771.4,
21.8785,19550.8,
22.0187,22061.7,
22.1676,25745.1,
22.2903,29444.7,
22.4567,34360.5,
22.5618,38514.5,
22.7020,43460.8,
22.7983,47423.8,
22.9298,53875.2,
22.9648,57617.1,
