"Mass Fraction(Z'), created by Plot Digitizer, 2.6.8"
"Date: 2/10/19, 3:13:21 PM"


42
Z',Mass Fraction
0.00103101,2.23812e-07,
0.00120351,2.58824e-07,
0.00138158,3.03737e-07,
0.00163995,3.72350e-07,
0.00195473,4.12110e-07,
0.00233004,5.20164e-07,
0.00288382,6.28314e-07,
0.00353955,7.81464e-07,
0.00423675,9.44075e-07,
0.00492492,1.06036e-06,
0.00574885,1.19096e-06,
0.00665489,1.41812e-06,
0.00770361,1.61626e-06,
0.00888039,1.84211e-06,
0.0100252,2.09970e-06,
0.0118501,2.39285e-06,
0.0136033,2.68774e-06,
0.0156159,3.06336e-06,
0.0190068,3.64691e-06,
0.0222799,4.27937e-06,
0.0260073,4.80640e-06,
0.0294825,5.16765e-06,
0.0339858,5.72026e-06,
0.0406792,6.51855e-06,
0.0476849,7.87566e-06,
0.0592643,8.97332e-06,
0.0697623,1.11625e-05,
0.0859802,1.23527e-05,
0.0978792,1.40796e-05,
0.117648,1.65196e-05,
0.136188,1.88276e-05,
0.160311,2.27470e-05,
0.196761,2.78815e-05,
0.235519,3.41785e-05,
0.266999,4.07015e-05,
0.329081,4.98878e-05,
0.398881,6.48294e-05,
0.469524,7.38818e-05,
0.548094,9.19099e-05,
0.675539,0.000114311,
0.811963,0.000126513,
1.01342,0.000171743,
