"Mass Fraction(Z'), created by Plot Digitizer, 2.6.8"
"Date: 2/10/19, 3:23:17 PM"


46
Z',Mass Fraction
0.00101808,0.193453,
0.00113496,0.196703,
0.00130465,0.204510,
0.00153351,0.208522,
0.00184317,0.216794,
0.00216048,0.222901,
0.00250435,0.230460,
0.00286277,0.236296,
0.00329996,0.241604,
0.00395527,0.249795,
0.00466212,0.261885,
0.00532941,0.273039,
0.00610922,0.286258,
0.00698365,0.301792,
0.00774227,0.318174,
0.00870366,0.330806,
0.00954212,0.345863,
0.0109079,0.364632,
0.0124345,0.380163,
0.0142936,0.396354,
0.0165226,0.410939,
0.0196388,0.427244,
0.0230838,0.435624,
0.0276677,0.445404,
0.0328857,0.457947,
0.0385470,0.465632,
0.0456890,0.469506,
0.0543053,0.470782,
0.0631239,0.477353,
0.0780132,0.482657,
0.0932439,0.486671,
0.111759,0.490717,
0.131730,0.494800,
0.155269,0.494768,
0.183014,0.494735,
0.215717,0.496081,
0.257113,0.498816,
0.302213,0.497397,
0.351288,0.500144,
0.417537,0.502902,
0.486692,0.502871,
0.554792,0.498662,
0.641299,0.502815,
0.741291,0.501388,
0.876190,0.501354,
0.996016,0.502726,
