Z,H2,H
1e-05,0.1010736228748516,0.7978527542502969
3.5938136638046256e-05,0.10314819325458255,0.793703613490835
0.0001291549665014884,0.11015943527562734,0.7796811294487452
0.0004641588833612782,0.13105146054326788,0.7378970789134642
0.0016681005372000592,0.17872673985006984,0.6425465202998603
0.005994842503189409,0.25560100563162963,0.4887979887367407
0.021544346900318846,0.3608069709880566,0.27838605802388683
0.07742636826811278,0.45425346284288437,0.0914930743142312
0.2782559402207126,0.48721243848473766,0.025575123030524706
1.0,0.4962873736034132,0.007425252793173658
