Z,el,Hplus,ions
1e-05,0.00010493586101934459,0.00010328793548373609,5.158923238080838e-10
2.782559402207126e-05,0.00010236223153465124,0.00010086656260325368,7.186042846309456e-10
7.742636826811278e-05,9.567329509638131e-05,9.452077512372032e-05,1.2774428783315377e-09
0.00021544346900318823,8.009064180096115e-05,7.949716489019639e-05,2.6945398957714147e-09
0.0005994842503189409,5.172505208300915e-05,5.1587792788080714e-05,4.984115464743051e-09
0.0016681005372000592,1.953441223351116e-05,1.9515118830331143e-05,3.9196108035234e-09
0.004641588833612777,3.177230950842452e-06,3.17432717871387e-06,7.871058631305237e-10
0.012915496650148827,3.236078862447569e-07,3.2325262661422137e-07,1.4006566123638946e-10
0.03593813663804626,4.1675956241849084e-08,4.1610794965865524e-08,3.7461107746364206e-11
0.1,7.507105813741847e-09,7.489662155758898e-09,1.2457867041954636e-11
