"Mass Fraction(Z'), created by Plot Digitizer, 2.6.8"
"Date: 2/10/19, 2:55:30 PM"


58
Z',Mass Fraction
0.00102043,6.94225e-05,
0.00114250,6.77035e-05,
0.00130621,6.63035e-05,
0.00151542,6.65812e-05,
0.00170025,6.25357e-05,
0.00193982,6.07329e-05,
0.00219012,5.87361e-05,
0.00248309,5.70428e-05,
0.00278594,5.40266e-05,
0.00315200,5.05323e-05,
0.00352905,4.82620e-05,
0.00388561,4.45782e-05,
0.00435041,4.03242e-05,
0.00493234,3.60217e-05,
0.00545346,3.13814e-05,
0.00594196,2.80331e-05,
0.00647422,2.35205e-05,
0.00723352,1.94071e-05,
0.00791453,1.66269e-05,
0.00886127,1.41264e-05,
0.0100466,1.22042e-05,
0.0114383,1.02396e-05,
0.0130773,9.10894e-06,
0.0150139,8.27419e-06,
0.0173096,7.42230e-06,
0.0192993,6.97132e-06,
0.0217439,6.54775e-06,
0.0240413,6.17566e-06,
0.0276593,5.84911e-06,
0.0318886,5.65680e-06,
0.0364580,5.63321e-06,
0.0418571,5.60972e-06,
0.0472580,5.70428e-06,
0.0545980,5.80043e-06,
0.0594887,6.02274e-06,
0.0659116,6.27976e-06,
0.0759898,6.54775e-06,
0.0887158,7.32983e-06,
0.103790,7.86949e-06,
0.122190,8.80945e-06,
0.137956,9.65775e-06,
0.157395,1.10396e-05,
0.182604,1.25141e-05,
0.202320,1.33794e-05,
0.224164,1.45457e-05,
0.246296,1.58799e-05,
0.275182,1.74819e-05,
0.313957,1.93262e-05,
0.357446,2.11872e-05,
0.417308,2.37179e-05,
0.482124,2.65508e-05,
0.531947,2.92294e-05,
0.593092,3.13814e-05,
0.650288,3.34115e-05,
0.726554,3.58714e-05,
0.816877,3.85125e-05,
0.895655,4.15212e-05,
0.998606,4.45782e-05,
