"Mass Fraction(Z'), created by Plot Digitizer, 2.6.8"
"Date: 2/10/19, 2:57:05 PM"


56
Z',Mass Fraction
0.00101405,6.85576e-05,
0.00115451,6.74211e-05,
0.00134223,6.65812e-05,
0.00150909,6.57517e-05,
0.00172534,6.33247e-05,
0.00193577,6.04796e-05,
0.00220853,5.68049e-05,
0.00250396,5.60972e-05,
0.00286876,5.22502e-05,
0.00315200,5.11698e-05,
0.00349232,4.86671e-05,
0.00382111,4.55195e-05,
0.00418085,4.25754e-05,
0.00468096,3.81920e-05,
0.00503664,3.45474e-05,
0.00547633,3.03496e-05,
0.00597938,2.69983e-05,
0.00642026,2.44219e-05,
0.00695159,2.10109e-05,
0.00732491,1.83043e-05,
0.00786500,1.56820e-05,
0.00846260,1.35482e-05,
0.00920138,1.17537e-05,
0.0101523,1.04996e-05,
0.0110385,9.22385e-06,
0.0119022,8.34363e-06,
0.0131597,7.36052e-06,
0.0144287,6.79870e-06,
0.0163246,5.89821e-06,
0.0183157,5.22502e-06,
0.0209841,4.55195e-06,
0.0233961,4.10039e-06,
0.0259765,3.64761e-06,
0.0296367,3.27206e-06,
0.0341683,2.79162e-06,
0.0386578,2.44219e-06,
0.0448494,2.22768e-06,
0.0523603,1.88476e-06,
0.0608738,1.62831e-06,
0.0716656,1.38922e-06,
0.0894614,1.11322e-06,
0.110514,8.88338e-07,
0.128752,7.77145e-07,
0.150629,6.65812e-07,
0.168295,5.72817e-07,
0.202320,4.86671e-07,
0.237193,4.06626e-07,
0.283363,3.25842e-07,
0.334997,2.62200e-07,
0.401043,2.04052e-07,
0.469186,1.56820e-07,
0.553521,1.27250e-07,
0.631515,1.02396e-07,
0.738819,7.93554e-08,
0.841160,6.41235e-08,
0.988213,4.92811e-08,
