"T [K](log(nH [cm-3])), created by Plot Digitizer, 2.6.8"
"Date: 4/17/18, 2:00:51 PM"


170
log(nH [cm-3]),T [K]
-0.994339,301.703,
-0.985673,276.474,
-0.985800,243.349,
-0.968389,221.505,
-0.986006,197.605,
-0.977348,179.868,
-0.977468,159.384,
-0.968796,147.041,
-0.960164,130.295,
-0.969002,119.401,
-0.960370,105.802,
-0.951678,99.5952,
-0.934268,90.6555,
-0.943153,79.2598,
-0.943259,71.1834,
-0.934674,60.1794,
-0.943586,51.2198,
-0.926215,44.7807,
-0.926342,39.4153,
-0.908944,35.3986,
-0.909044,32.0058,
-0.891680,27.7948,
-0.883048,24.6294,
-0.856906,21.9713,
-0.822025,19.3384,
-0.778412,16.6814,
-0.699831,13.8207,
-0.629969,11.8418,
-0.542610,10.0782,
-0.446446,9.05079,
-0.341496,8.40564,
-0.227782,7.91203,
-0.0527903,7.54785,
0.148457,7.20033,
0.358476,7.00858,
0.515997,6.91442,
0.691021,6.82146,
0.883556,6.77503,
1.04984,6.72902,
1.25114,6.81923,
1.34743,6.91107,
1.50497,6.95700,
1.68878,7.14569,
1.81132,7.24182,
1.95139,7.53902,
2.10022,7.84838,
2.23153,8.11582,
2.36285,8.44894,
2.46790,8.73698,
2.57297,9.15703,
2.69553,9.46911,
2.79183,9.72643,
2.89687,9.85737,
3.01940,9.92310,
3.13318,9.98931,
3.24696,10.0560,
3.36947,9.85465,
3.53572,9.52826,
3.59696,9.27533,
3.67570,9.02902,
3.79813,8.21806,
3.92060,7.78755,
3.99055,7.28135,
4.06051,6.85393,
4.12172,6.49512,
4.16541,6.07301,
4.22662,5.75508,
4.27907,5.41731,
4.34026,5.03129,
4.41021,4.70425,
4.48891,4.39844,
4.56764,4.22451,
4.65509,3.94986,
4.76005,3.71793,
4.90002,3.49954,
5.02253,3.42948,
5.18880,3.36074,
5.34632,3.31559,
5.56511,3.29297,
5.71390,3.31488,
5.84518,3.33696,
5.98523,3.38182,
6.11652,3.42729,
6.26531,3.47334,
6.42287,3.54372,
6.53666,3.61561,
6.71171,3.66414,
6.89553,3.76352,
7.07935,3.86559,
7.26318,4.05125,
7.45575,4.13325,
7.64831,4.21691,
7.81463,4.36052,
7.99845,4.50897,
8.18229,4.72553,
8.39235,4.82113,
8.47990,4.98554,
8.70750,5.22486,
8.88256,5.36660,
9.17144,5.73848,
9.50408,6.13599,
9.79297,6.60541,
10.0293,6.87611,
10.2482,7.20622,
10.4845,7.50154,
10.7209,8.13011,
10.8960,8.52063,
11.0273,9.42314,
11.1850,10.4913,
11.2989,11.6027,
11.4040,13.3596,
11.5355,15.9076,
11.6932,19.4572,
11.7721,23.0138,
11.9299,28.3387,
12.0175,32.4116,
12.1403,39.6447,
12.2629,46.5763,
12.3769,55.0890,
12.4645,62.1658,
12.5697,73.5282,
12.6748,82.4174,
12.7888,94.8965,
12.9026,104.246,
13.0516,123.297,
13.2268,141.961,
13.3844,161.270,
13.5684,188.192,
13.7260,216.682,
13.9012,254.560,
14.2428,342.025,
14.4005,399.128,
14.6721,515.105,
14.8648,617.461,
15.1101,796.892,
15.3641,987.834,
15.6444,1249.43,
15.9071,1448.18,
16.2486,1701.18,
16.4587,1819.14,
16.6951,2011.71,
16.9490,2180.25,
17.1591,2315.83,
17.3605,2493.13,
17.5618,2630.46,
17.7719,2719.97,
18.0258,2947.85,
18.3147,3152.12,
18.6298,3439.11,
18.8837,3652.89,
19.1288,3932.45,
19.4265,4290.52,
19.7329,4712.73,
20.0043,5281.96,
20.2670,5801.88,
20.4771,6502.90,
20.7223,7387.05,
20.9325,8448.13,
21.1339,9991.68,
21.3091,11817.4,
21.4931,14649.6,
21.6946,17678.9,
21.8874,22361.8,
22.0801,26270.5,
22.2816,32566.2,
22.5269,39299.3,
22.6495,45554.5,
22.7809,52100.4,
22.8948,58007.8,
22.9474,62454.2,
