"Mass Fraction(Z'), created by Plot Digitizer, 2.6.8"
"Date: 2/10/19, 3:10:54 PM"


39
Z',Mass Fraction
0.00102442,3.57849e-10,
0.00118588,4.32373e-10,
0.00141948,5.37820e-10,
0.00173495,6.40259e-10,
0.00202529,8.08204e-10,
0.00252774,1.03491e-09,
0.00310255,1.34480e-09,
0.00392109,1.69698e-09,
0.00467400,2.23783e-09,
0.00568895,2.66411e-09,
0.00698262,3.46184e-09,
0.00849892,4.18190e-09,
0.0103013,4.97860e-09,
0.0122790,6.10314e-09,
0.0146359,6.85418e-09,
0.0176657,8.04186e-09,
0.0210567,9.16430e-09,
0.0249939,1.02922e-08,
0.0297919,1.20763e-08,
0.0355113,1.45894e-08,
0.0437678,1.73677e-08,
0.0517374,2.25717e-08,
0.0651156,2.97587e-08,
0.0802589,4.04001e-08,
0.101015,5.81399e-08,
0.115482,7.55717e-08,
0.134243,9.13083e-08,
0.160012,1.04053e-07,
0.195570,1.18563e-07,
0.232132,1.23782e-07,
0.287274,1.11656e-07,
0.352560,1.03706e-07,
0.421964,9.49357e-08,
0.502921,8.56492e-08,
0.570097,8.07478e-08,
0.654410,7.95311e-08,
0.770276,8.06451e-08,
0.865898,7.71510e-08,
0.965287,7.38109e-08,
