"Mass Fraction(Z'), created by Plot Digitizer, 2.6.8"
"Date: 2/10/19, 3:01:11 PM"


33
Z',Mass Fraction
0.0212899,1.11487e-10,
0.0234893,1.43881e-10,
0.0262982,1.93989e-10,
0.0288331,2.36160e-10,
0.0318783,3.04777e-10,
0.0348781,3.71036e-10,
0.0383206,4.71913e-10,
0.0418392,5.78721e-10,
0.0472358,7.85957e-10,
0.0520062,9.77982e-10,
0.0583456,1.22574e-09,
0.0654583,1.57028e-09,
0.0732826,1.84296e-09,
0.0825608,2.37825e-09,
0.0912768,2.73092e-09,
0.101549,3.30020e-09,
0.117556,4.16602e-09,
0.137515,5.18253e-09,
0.153628,5.77954e-09,
0.176363,7.13802e-09,
0.203732,8.56190e-09,
0.233880,1.04975e-08,
0.271308,1.25913e-08,
0.312106,1.52139e-08,
0.345775,1.72166e-08,
0.401107,2.03513e-08,
0.473136,2.37063e-08,
0.534127,2.64360e-08,
0.601712,2.82169e-08,
0.699426,2.90345e-08,
0.801206,3.03171e-08,
0.904446,2.96452e-08,
0.993620,2.85713e-08,
