Z,el,Hplus,ions
1e-05,0.00010493585652228335,0.00010328793125065613,5.15892346067622e-10
2.1544346900318823e-05,0.00010325828815850291,0.0001017109649086024,6.471788828639953e-10
4.641588833612782e-05,9.977666725125197e-05,9.842226038499062e-05,9.294902264924591e-10
0.0001,9.284006099721502e-05,9.181218856087997e-05,1.5258826151948933e-09
0.00021544346900318823,8.009058527428851e-05,7.949710986409822e-05,2.6945401732112734e-09
0.00046415888336127773,5.987189913963976e-05,5.965511450837829e-05,4.4533756991439624e-09
0.001,3.4777497002008426e-05,3.472780799493259e-05,5.307448493674821e-09
0.002154434690031882,1.3497326827972027e-05,1.3484984740721788e-05,2.765613619879781e-09
0.004641588833612777,3.1773456967371146e-06,3.174441802195821e-06,7.871515245260692e-10
0.01,5.671948241763099e-07,5.666094143924281e-07,2.0819951783540614e-10
