"Mass Fraction(Z'), created by Plot Digitizer, 2.6.8"
"Date: 2/10/19, 3:15:05 PM"


32
Z',Mass Fraction
0.00102698,4.85223e-07,
0.00116422,5.37150e-07,
0.00143493,6.68067e-07,
0.00167501,7.72577e-07,
0.00205589,9.75024e-07,
0.00246079,1.11109e-06,
0.00292101,1.38212e-06,
0.00351096,1.59813e-06,
0.00416749,1.87518e-06,
0.00515802,2.29837e-06,
0.00633080,2.77634e-06,
0.00841278,3.71331e-06,
0.0103689,4.55141e-06,
0.0129412,5.74366e-06,
0.0182340,8.38328e-06,
0.0240285,1.07324e-05,
0.0316641,1.35407e-05,
0.0401859,1.73377e-05,
0.0520788,2.28553e-05,
0.0658181,2.80108e-05,
0.0856523,3.48298e-05,
0.109614,4.14558e-05,
0.135667,5.15587e-05,
0.177291,6.50520e-05,
0.226896,8.57588e-05,
0.282001,0.000105111,
0.341807,0.000126976,
0.439276,0.000167391,
0.539157,0.000205175,
0.658985,0.000247847,
0.843354,0.000312737,
0.988594,0.000377847,
