Z,H2,H
1e-05,0.09823035509880172,0.8035392898023965
2.782559402207126e-05,0.10139067474488773,0.7972186505102244
7.742636826811278e-05,0.10966636494296261,0.7806672701140749
0.00021544346900318823,0.12945135098749738,0.7410972980250052
0.0005994842503189409,0.16958459459620215,0.6608308108075956
0.0016681005372000592,0.23999386167268333,0.5200122766546333
0.004641588833612777,0.349990766743827,0.3000184665123459
0.012915496650148827,0.4446231174326948,0.11075376513461052
0.03593813663804626,0.4811435575463927,0.0377128849072147
0.1,0.49328218177811445,0.013435636443771186
