Z,H2,H
1e-05,0.09823035881715021,0.8035392823656996
2.782559402207126e-05,0.10139068458005397,0.7972186308398921
7.742636826811278e-05,0.10966638924661946,0.7806672215067612
0.00021544346900318823,0.1294514022648671,0.7410971954702659
0.0005994842503189409,0.16958469494225584,0.6608306101154883
0.0016681005372000592,0.23999363844774224,0.5200127231045154
0.004641588833612777,0.34998893787178553,0.3000221242564289
0.012915496650148827,0.4446212871087075,0.11075742578258498
0.03593813663804626,0.48114263182583866,0.03771473634832274
0.1,0.49328172956403576,0.01343654087192852
