Z,el,Hplus,ions
1e-05,0.00010493585623219571,0.00010328793097753594,5.158923470340694e-10
2.782559402207126e-05,0.00010236221895388686,0.0001008665507076956,7.186043964208915e-10
7.742636826811278e-05,9.567326455925385e-05,9.452074594513975e-05,1.2774432261614746e-09
0.00021544346900318823,8.009058099421579e-05,7.949710569770794e-05,2.6945401649540306e-09
0.0005994842503189409,5.172495849728781e-05,5.158769994241987e-05,4.984124731317026e-09
0.0016681005372000592,1.95344905771248e-05,1.9515197001573243e-05,3.919694518471848e-09
0.004641588833612777,3.1773467919761014e-06,3.174442896020266e-06,7.871522085199417e-10
0.012915496650148827,3.2363082223375056e-07,3.2327553779376996e-07,1.4007523826975893e-10
0.03593813663804626,4.167988999527164e-08,4.161472335531377e-08,3.7463630808059306e-11
0.1,7.50794020586256e-09,7.490494939458183e-09,1.2458918750684553e-11
