log(n_H),log(fHD)
-0.999960567634108,-4.477134283358691
-1.074633623555648,-4.60652581934185
-1.0300808342166008,-4.718838401532088
-1.0203150195602209,-4.794847975857756
-1.0105492048743516,-4.824849458712581
-1.0007833901686365,-4.816986394962675
-0.9910175754502912,-4.785955727002886
-0.9812517607236446,-4.743262817069595
-0.9714859459906008,-4.694970936323783
-0.9617201312516848,-4.643842346652123
-0.9519543165069383,-4.591360181415434
-0.9421885017563333,-4.538546579091332
-0.9324226869998518,-4.486138909828952
-0.9226568722374626,-4.43462826076957
-0.9128910574690999,-4.384307665136946
-0.9031252426946554,-4.335328677412687
-0.8933594279139803,-4.287749556828435
-0.8835936131268913,-4.241570406210036
-0.8738277983331832,-4.196760649127243
-0.8640619835326433,-4.1532765334030515
-0.8542961687250563,-4.11106869733962
-0.8445303539102045,-4.070084723828298
-0.8347645390878771,-4.030273946882966
-0.824998724257878,-3.991590373920611
-0.8152329094200365,-3.9539935119238017
-0.8054670945742234,-3.9174514089799986
-0.7957012797203585,-3.8819395268408927
-0.7859354648584199,-3.8474395493176052
-0.7761696499884501,-3.8139388585613325
-0.766403835110585,-3.781432949270742
-0.7566380202250681,-3.7499251177883823
-0.7468722053323202,-3.7194340658537617
-0.7371063904330379,-3.6900023503604475
-0.7273405755283587,-3.661710874282106
-0.717574760620208,-3.6347102647358884
-0.707808945711408,-3.60921332280755
-0.6980431308057691,-3.585488745583368
-0.6882773159074034,-3.5637762025847035
-0.6785115010202298,-3.5442487078112506
-0.6687456861478827,-3.527026385946357
-0.6589798712897538,-3.5118174916263567
-0.6492140564438199,-3.4982511982590925
-0.6394482416092938,-3.4861220317641575
-0.6266463341802558,-3.4748973504146843
-0.6038357688198436,-3.4640676821515872
-0.5744316376488086,-3.4531367876041927
-0.5416014570672947,-3.4415701174999427
-0.5052580309216086,-3.4292414890596765
-0.4654019773815925,-3.415710720165093
-0.42250306955409633,-3.4006161890320494
-0.37795027990610397,-3.3842482430934067
-0.3333974902316124,-3.3666607744668853
-0.2888447005328771,-3.348167989198292
-0.24429191081454718,-3.3292015976632148
-0.19973912108050831,-3.3100869653609752
-0.15518633133425333,-3.2910779676633726
-0.11063354157866766,-3.272354675931755
-0.0660807518157058,-3.254018305737084
-0.021527962046709242,-3.236121640912517
0.0230248277274875,-3.21868287483868
0.067577617506334,-3.2017024394767093
0.11213040728941716,-3.185172861070633
0.1566831970763377,-3.169085613646654
0.20123598686675545,-3.153429427807541
0.24578877666050433,-3.138186279559126
0.2903415664574325,-3.123338769094047
0.3348943562574143,-3.108869714226618
0.37944714606029467,-3.0947641613548917
0.4239999358659172,-3.0810081698974248
0.46855272567420514,-3.0675859404612273
0.5131055154850397,-3.054484166410371
0.5576583052983827,-3.0416877853985604
0.6022110951142315,-3.0291817309275797
0.646763884932602,-3.016951438702136
0.6913166747535334,-3.0049827085227006
0.7358694645770903,-2.993261653095143
0.7804222544032802,-2.981776964230365
0.8249750442321363,-2.9705173892572185
0.8695278340637591,-2.9594706216482916
0.9140806238981595,-2.9486275455533684
0.9586334137353826,-2.937978726046046
1.0031862035748818,-2.9275298532432514
1.0477389934146655,-2.9173203449892835
1.0922917832539993,-2.907356167770098
1.136844573093796,-2.8976048128832392
1.1813973629355559,-2.8880233145317473
