"Mass Fraction(Z'), created by Plot Digitizer, 2.6.8"
"Date: 2/10/19, 3:20:42 PM"


52
Z',Mass Fraction
0.00101572,0.621192,
0.00113232,0.609176,
0.00130159,0.597385,
0.00147135,0.587459,
0.00166791,0.580923,
0.00192259,0.568094,
0.00216731,0.557102,
0.00249824,0.543285,
0.00291199,0.529807,
0.00335663,0.516667,
0.00381562,0.501057,
0.00424177,0.488636,
0.00476837,0.475196,
0.00528616,0.460844,
0.00577905,0.438302,
0.00642443,0.418021,
0.00700390,0.395366,
0.00765695,0.373938,
0.00818633,0.352692,
0.00910040,0.323513,
0.0101730,0.291832,
0.0114356,0.263252,
0.0127478,0.237472,
0.0143699,0.213026,
0.0164254,0.183279,
0.0191449,0.161237,
0.0222524,0.139495,
0.0250139,0.123750,
0.0283541,0.108565,
0.0333257,0.0934041,
0.0375661,0.0828609,
0.0423459,0.0733034,
0.0472049,0.0652108,
0.0524755,0.0589889,
0.0588238,0.0526227,
0.0668648,0.0461656,
0.0755827,0.0406139,
0.0835549,0.0369441,
0.0926260,0.0338877,
0.100698,0.0307401,
0.110701,0.0284336,
0.124094,0.0253650,
0.139494,0.0223769,
0.152498,0.0204118,
0.167180,0.0187754,
0.180740,0.0172223,
0.199803,0.0154926,
0.218431,0.0144504,
0.237468,0.0132920,
0.258162,0.0120910,
0.281446,0.0111838,
0.310264,0.0100886,
