z,k(s^-1)
0.0000E+000,3.5480243419005303e-12
0.4912E-001,4.103743456074144e-12
0.1006E+000,4.741202976560586e-12
0.1547E+000,5.46868358828214e-12
0.2114E+000,6.295300875843188e-12
0.2709E+000,7.229995574425059e-12
0.3333E+000,8.281479118180722e-12
0.3988E+000,9.458687856679665e-12
0.4675E+000,1.076923011236974e-11
0.5396E+000,1.2222327587611673e-11
0.6152E+000,1.3823586289219689e-11
0.6945E+000,1.5577084831923717e-11
0.7778E+000,1.7480055888615288e-11
0.8651E+000,1.9524781118765792e-11
0.9567E+000,2.1696613121281173e-11
0.1053E+001,2.3978510618899307e-11
0.1154E+001,2.634813100179339e-11
0.1259E+001,2.8774671937042205e-11
0.1370E+001,3.122112502362194e-11
0.1487E+001,3.364299822144593e-11
0.1609E+001,3.6001358319991686e-11
0.1737E+001,3.8273561146804074e-11
0.1871E+001,4.0490936702090765e-11
0.2013E+001,4.273047825348096e-11
0.2160E+001,4.482875786786014e-11
0.2316E+001,4.6444412456229616e-11
0.2479E+001,4.751387265696981e-11
0.2649E+001,4.800123760588193e-11
0.2829E+001,4.790110282641286e-11
0.3017E+001,4.7257861893727486e-11
0.3214E+001,4.613257451487999e-11
0.3421E+001,4.460846772648408e-11
0.3638E+001,4.277258123282593e-11
0.3866E+001,4.070768418905289e-11
0.4105E+001,3.849630113681205e-11
0.4356E+001,3.62096963459601e-11
0.4619E+001,3.3909296426134846e-11
0.4895E+001,3.163393889420769e-11
0.5184E+001,2.9354464386805525e-11
0.5488E+001,2.6916242139980277e-11
0.5807E+001,2.4502410175953292e-11
0.6141E+001,2.2441501775599096e-11
0.6492E+001,2.0707698910261736e-11
0.6859E+001,1.9195155343067376e-11
0.7246E+001,1.7824012864214812e-11
0.7650E+001,1.655037969664031e-11
0.8075E+001,1.535323599232756e-11
0.8521E+001,1.4221193529095805e-11
0.8989E+001,1.3145067706644006e-11
0.9479E+001,1.212024133800659e-11
0.9994E+001,1.1140679865137166e-11
0.1053E+002,1.0198681374077445e-11
0.1110E+002,9.278389356771393e-12
0.1169E+002,8.358844627568036e-12
0.1232E+002,7.410866548381745e-12
0.1297E+002,6.416398555835716e-12
0.1366E+002,5.338244741101413e-12
0.1438E+002,4.16424691309088e-12
0.1513E+002,2.8034275759239063e-12
0.1593E+002,0.0
