z,k(s^-1)
0.0000E+000,8.335482832197596e-13
0.4912E-001,9.631621003312664e-13
0.1006E+000,1.1115783482496715e-12
0.1547E+000,1.2806484368689538e-12
0.2114E+000,1.4723930955566171e-12
0.2709E+000,1.6887886222412094e-12
0.3333E+000,1.9317377256292513e-12
0.3988E+000,2.2031781525374465e-12
0.4675E+000,2.5047453410800897e-12
0.5396E+000,2.838433146688789e-12
0.6152E+000,3.2053809957597756e-12
0.6945E+000,3.606345772695069e-12
0.7778E+000,4.040514184060518e-12
0.8651E+000,4.505849525105498e-12
0.9567E+000,4.998808796288986e-12
0.1053E+001,5.515269976224263e-12
0.1154E+001,6.050002196547788e-12
0.1259E+001,6.595883107953662e-12
0.1370E+001,7.1444110052676404e-12
0.1487E+001,7.685543115817671e-12
0.1609E+001,8.210509496669545e-12
0.1737E+001,8.714257586714507e-12
0.1871E+001,9.20374203666586e-12
0.2013E+001,9.69668611849169e-12
0.2160E+001,1.0157443455199025e-11
0.2316E+001,1.0509497097633102e-11
0.2479E+001,1.0738806146308161e-11
0.2649E+001,1.083762709252323e-11
0.2829E+001,1.0804996801650865e-11
0.3017E+001,1.0650997697485005e-11
0.3214E+001,1.0389534882040324e-11
0.3421E+001,1.0039302005584192e-11
0.3638E+001,9.619889423808577e-12
0.3866E+001,9.149930175251963e-12
0.4105E+001,8.647933836968902e-12
0.4356E+001,8.129835269441238e-12
0.4619E+001,7.609440014700536e-12
0.4895E+001,7.095668481643908e-12
0.5184E+001,6.581889025294579e-12
0.5488E+001,6.033257532220664e-12
0.5807E+001,5.489222369110057e-12
0.6141E+001,5.024429514192312e-12
0.6492E+001,4.633362502403732e-12
0.6859E+001,4.2925839372941465e-12
0.7246E+001,3.984254287426125e-12
0.7650E+001,3.698356127205326e-12
0.8075E+001,3.429972738545208e-12
0.8521E+001,3.176419750868272e-12
0.8989E+001,2.935606237123012e-12
0.9479E+001,2.706777872531616e-12
0.9994E+001,2.488704758402052e-12
0.1053E+002,2.2793086169650316e-12
0.1110E+002,2.075014661940467e-12
0.1169E+002,1.8711535541001907e-12
0.1232E+002,1.6604019985232902e-12
0.1297E+002,1.4388790811488757e-12
0.1366E+002,1.1985301186268802e-12
0.1438E+002,9.363179598725464e-13
0.1513E+002,6.315924588522556e-13
0.1593E+002,0.0
