z,k(s^-1)
0.0000E+000,4.070993215726609e-13
0.4912E-001,4.734821823711615e-13
0.1006E+000,5.501723445216852e-13
0.1547E+000,6.383020841508493e-13
0.2114E+000,7.391251592935667e-13
0.2709E+000,8.539207812792969e-13
0.3333E+000,9.839582818364428e-13
0.3988E+000,1.1306353404789466e-12
0.4675E+000,1.295140825919079e-12
0.5396E+000,1.4789057900186186e-12
0.6152E+000,1.6830003207433677e-12
0.6945E+000,1.9082633050930246e-12
0.7778E+000,2.154784654157842e-12
0.8651E+000,2.42200598348683e-12
0.9567E+000,2.7085498642726567e-12
0.1053E+001,3.012566525192185e-12
0.1154E+001,3.3314182867527503e-12
0.1259E+001,3.6611634473559896e-12
0.1370E+001,3.996996107565559e-12
0.1487E+001,4.3328504495320245e-12
0.1609E+001,4.66285686292567e-12
0.1737E+001,4.984144118715344e-12
0.1871E+001,5.301471230489388e-12
0.2013E+001,5.6286091954584514e-12
0.2160E+001,5.944436624288024e-12
0.2316E+001,6.1965392445880425e-12
0.2479E+001,6.3743297625108125e-12
0.2649E+001,6.47107989007512e-12
0.2829E+001,6.484738185008813e-12
0.3017E+001,6.42103073796438e-12
0.3214E+001,6.288599313536039e-12
0.3421E+001,6.099127840248285e-12
0.3638E+001,5.864634526487969e-12
0.3866E+001,5.5965897343262356e-12
0.4105E+001,5.306398244506303e-12
0.4356E+001,5.004086985775103e-12
0.4619E+001,4.698392479812846e-12
0.4895E+001,4.394139905989722e-12
0.5184E+001,4.08538136327691e-12
0.5488E+001,3.745978673083376e-12
0.5807E+001,3.4003009039581962e-12
0.6141E+001,3.1067721752413503e-12
0.6492E+001,2.8633610486604398e-12
0.6859E+001,2.654498207533898e-12
0.7246E+001,2.467551219790963e-12
0.7650E+001,2.295208248261526e-12
0.8075E+001,2.133803283355697e-12
0.8521E+001,1.9814195735681007e-12
0.8989E+001,1.8366727753281937e-12
0.9479E+001,1.699057876462536e-12
0.9994E+001,1.567958801250067e-12
0.1053E+002,1.4422826213853396e-12
0.1110E+002,1.3198032922031646e-12
0.1169E+002,1.1974536457651277e-12
0.1232E+002,1.0696212964308362e-12
0.1297E+002,9.346034275727535e-13
0.1366E+002,7.872284670817792e-13
0.1438E+002,6.255470785019684e-13
0.1513E+002,4.3549575034814285e-13
0.1593E+002,0.0
