z,k(s^-1)
0.0000E+000,2.9706070521616927e-12
0.4912E-001,3.4321854304471793e-12
0.1006E+000,3.960684419084561e-12
0.1547E+000,4.562703849460608e-12
0.2114E+000,5.2454620376411e-12
0.2709E+000,6.016010089291529e-12
0.3333E+000,6.8811349050060645e-12
0.3988E+000,7.847720508025198e-12
0.4675E+000,8.921613568434112e-12
0.5396E+000,1.0109944638615268e-11
0.6152E+000,1.141678256295519e-11
0.6945E+000,1.2844869025032055e-11
0.7778E+000,1.4391326651505792e-11
0.8651E+000,1.6048927500661047e-11
0.9567E+000,1.780509730520387e-11
0.1053E+001,1.9645223816591718e-11
0.1154E+001,2.1550846842805812e-11
0.1259E+001,2.3496858631720663e-11
0.1370E+001,2.5453286993305e-11
0.1487E+001,2.7384709370950077e-11
0.1609E+001,2.9260571702093175e-11
0.1737E+001,3.106316710910064e-11
0.1871E+001,3.281802745771869e-11
0.2013E+001,3.458776347434503e-11
0.2160E+001,3.624289255489038e-11
0.2316E+001,3.7510333703776535e-11
0.2479E+001,3.833998374249875e-11
0.2649E+001,3.870400522481417e-11
0.2829E+001,3.859853257737117e-11
0.3017E+001,3.805880800289714e-11
0.3214E+001,3.713351417143307e-11
0.3421E+001,3.588881239903771e-11
0.3638E+001,3.439469841912364e-11
0.3866E+001,3.271805641494718e-11
0.4105E+001,3.0925434526883636e-11
0.4356E+001,2.9074119817595853e-11
0.4619E+001,2.721371883166586e-11
0.4895E+001,2.5376477928201198e-11
0.5184E+001,2.353919684005569e-11
0.5488E+001,2.1578188300710667e-11
0.5807E+001,1.9636685444516045e-11
0.6141E+001,1.7978285790051284e-11
0.6492E+001,1.658281981608145e-11
0.6859E+001,1.5366147316265864e-11
0.7246E+001,1.4264338991067895e-11
0.7650E+001,1.3241750618093763e-11
0.8075E+001,1.2281157176169939e-11
0.8521E+001,1.1373194443698552e-11
0.8989E+001,1.0510518107877318e-11
0.9479E+001,9.690537511514333e-12
0.9994E+001,8.908864941076757e-12
0.1053E+002,8.158028815599757e-12
0.1110E+002,7.425218784395431e-12
0.1169E+002,6.693736840444774e-12
0.1232E+002,5.938045792547828e-12
0.1297E+002,5.1437632382329145e-12
0.1366E+002,4.282074365561942e-12
0.1438E+002,3.3421541886016954e-12
0.1513E+002,2.2503471354834972e-12
0.1593E+002,0.0
