z,k(s^-1)
0.0000E+000,6.436317345223985e-14
0.4912E-001,7.547030824702465e-14
0.1006E+000,8.813183113886241e-14
0.1547E+000,1.0241218107197168e-13
0.2114E+000,1.1830834836636068e-13
0.2709E+000,1.3581677375229334e-13
0.3333E+000,1.5492621689302675e-13
0.3988E+000,1.755763047137706e-13
0.4675E+000,1.9762882272397015e-13
0.5396E+000,2.2087588102994992e-13
0.6152E+000,2.450214225640532e-13
0.6945E+000,2.6965890940445757e-13
0.7778E+000,2.943100304954681e-13
0.8651E+000,3.1843794524817523e-13
0.9567E+000,3.413753809381801e-13
0.1053E+001,3.6250427504088664e-13
0.1154E+001,3.810788614630477e-13
0.1259E+001,3.962801893243955e-13
0.1370E+001,4.071183248932196e-13
0.1487E+001,4.125642352603559e-13
0.1609E+001,4.1158821622618057e-13
0.1737E+001,4.0297420795129883e-13
0.1871E+001,3.8528383803466215e-13
0.2013E+001,3.6112083050544834e-13
0.2160E+001,3.3593102613574544e-13
0.2316E+001,3.10890690594804e-13
0.2479E+001,2.8588709254109997e-13
0.2649E+001,2.610212131799227e-13
0.2829E+001,2.365752376315103e-13
0.3017E+001,2.1312146751320973e-13
0.3214E+001,1.9142904210240958e-13
0.3421E+001,1.7203609983846518e-13
0.3638E+001,1.5496286780310882e-13
0.3866E+001,1.399765301600709e-13
0.4105E+001,1.267780527377954e-13
0.4356E+001,1.1511858979206236e-13
0.4619E+001,1.0477166220453998e-13
0.4895E+001,9.552335079597566e-14
0.5184E+001,8.717579205856016e-14
0.5488E+001,7.955197454205311e-14
0.5807E+001,7.25762652316788e-14
0.6141E+001,6.61684381816305e-14
0.6492E+001,6.02520437607228e-14
0.6859E+001,5.4768039885345715e-14
0.7246E+001,4.967052797343776e-14
0.7650E+001,4.491819188436594e-14
0.8075E+001,4.0472518599443157e-14
0.8521E+001,3.630612433676058e-14
0.8989E+001,3.2395985222174523e-14
0.9479E+001,2.8718801113822485e-14
0.9994E+001,2.526223408469334e-14
0.1053E+002,2.2015904173153047e-14
0.1110E+002,1.8969950089033164e-14
0.1169E+002,1.6124057033084842e-14
0.1232E+002,1.344381243998092e-14
0.1297E+002,1.087386852468049e-14
0.1366E+002,8.363244539314276e-15
0.1438E+002,5.837909868139555e-15
0.1513E+002,3.1516893167357293e-15
0.1593E+002,0.0
