z,k(s^-1)
0.0000E+000,1.828052960953719e-13
0.4912E-001,2.098274210733937e-13
0.1006E+000,2.4047177308383863e-13
0.1547E+000,2.750424425637238e-13
0.2114E+000,3.138542967628886e-13
0.2709E+000,3.572036135044764e-13
0.3333E+000,4.0536117057858596e-13
0.3988E+000,4.585767244669327e-13
0.4675E+000,5.170473624571121e-13
0.5396E+000,5.810058480852002e-13
0.6152E+000,6.505061929039356e-13
0.6945E+000,7.255093699577565e-13
0.7778E+000,8.056519113500059e-13
0.8651E+000,8.903085560213925e-13
0.9567E+000,9.785705275956387e-13
0.1053E+001,1.069447477530295e-12
0.1154E+001,1.1617184599045013e-12
0.1259E+001,1.2538389237609374e-12
0.1370E+001,1.3439855017675642e-12
0.1487E+001,1.430188262492407e-12
0.1609E+001,1.5105766550769558e-12
0.1737E+001,1.5840788241198748e-12
0.1871E+001,1.6512203180902212e-12
0.2013E+001,1.7145156647896452e-12
0.2160E+001,1.769364323932539e-12
0.2316E+001,1.8050110176620868e-12
0.2479E+001,1.8198530543890505e-12
0.2649E+001,1.813503947881868e-12
0.2829E+001,1.786703476636679e-12
0.3017E+001,1.7419060959465155e-12
0.3214E+001,1.6821754143223994e-12
0.3421E+001,1.6109870911333045e-12
0.3638E+001,1.5315300384152794e-12
0.3866E+001,1.4465420324125193e-12
0.4105E+001,1.3586571515946327e-12
0.4356E+001,1.2700780756133646e-12
0.4619E+001,1.1827203790663513e-12
0.4895E+001,1.0979018713037082e-12
0.5184E+001,1.0146605968859101e-12
0.5488E+001,9.279776343674257e-13
0.5807E+001,8.423130927433057e-13
0.6141E+001,7.685210909133837e-13
0.6492E+001,7.057668554125226e-13
0.6859E+001,6.508273751927427e-13
0.7246E+001,6.01271762004792e-13
0.7650E+001,5.55685579083624e-13
0.8075E+001,5.133067060991201e-13
0.8521E+001,4.736658106970306e-13
0.8989E+001,4.3635718242926603e-13
0.9479E+001,4.011600882225454e-13
0.9994E+001,3.6781557256256805e-13
0.1053E+002,3.3597914196421006e-13
0.1110E+002,3.05121757324237e-13
0.1169E+002,2.7455228830961876e-13
0.1232E+002,2.4295924967423935e-13
0.1297E+002,2.099323028911348e-13
0.1366E+002,1.7432411632822871e-13
0.1438E+002,1.356851135230117e-13
0.1513E+002,9.11260497634873e-14
0.1593E+002,0.0
