z,k(s^-1)
0.0000E+000,7.876344073846105e-16
0.4912E-001,9.38701842756004e-16
0.1006E+000,1.1128567203664015e-15
0.1547E+000,1.3110711733000249e-15
0.2114E+000,1.5332808117929394e-15
0.2709E+000,1.779296265361772e-15
0.3333E+000,2.0488371475455217e-15
0.3988E+000,2.340914849522288e-15
0.4675E+000,2.6531524087649263e-15
0.5396E+000,2.982023815141835e-15
0.6152E+000,3.3228084675310463e-15
0.6945E+000,3.668727018645715e-15
0.7778E+000,4.012238713272833e-15
0.8651E+000,4.345130401526521e-15
0.9567E+000,4.656916242299883e-15
0.1053E+001,4.938630072885438e-15
0.1154E+001,5.180946619360615e-15
0.1259E+001,5.372519055621318e-15
0.1370E+001,5.5015684475690386e-15
0.1487E+001,5.555271152667469e-15
0.1609E+001,5.519026316801171e-15
0.1737E+001,5.374858734090383e-15
0.1871E+001,5.1018407978394275e-15
0.2013E+001,4.7431631174485515e-15
0.2160E+001,4.3878419063148556e-15
0.2316E+001,4.055712118455434e-15
0.2479E+001,3.7443463145472554e-15
0.2649E+001,3.4520327704259972e-15
0.2829E+001,3.1776007985583276e-15
0.3017E+001,2.92059886783714e-15
0.3214E+001,2.680525380143461e-15
0.3421E+001,2.4574133884281635e-15
0.3638E+001,2.2507549934678207e-15
0.3866E+001,2.0605107347096695e-15
0.4105E+001,1.8858048016753938e-15
0.4356E+001,1.7259565705826532e-15
0.4619E+001,1.5798470368817373e-15
0.4895E+001,1.4461830549293058e-15
0.5184E+001,1.3238337892641844e-15
0.5488E+001,1.211316434666279e-15
0.5807E+001,1.1077937208451938e-15
0.6141E+001,1.0126024091994106e-15
0.6492E+001,9.250425781335189e-16
0.6859E+001,8.44502476777642e-16
0.7246E+001,7.702773382651661e-16
0.7650E+001,7.01751228169788e-16
0.8075E+001,6.383090978704196e-16
0.8521E+001,5.79383335455363e-16
0.8989E+001,5.244495235891605e-16
0.9479E+001,4.729196345628313e-16
0.9994E+001,4.2428211391290774e-16
0.1053E+002,3.7795957111924208e-16
0.1110E+002,3.333768385639238e-16
0.1169E+002,2.899359196095481e-16
0.1232E+002,2.4687509678141903e-16
0.1297E+002,2.0329356075362384e-16
0.1366E+002,1.5822046694705626e-16
0.1438E+002,1.1046787309746662e-16
0.1513E+002,5.847366477179109e-17
0.1593E+002,0.0
