z,k(s^-1)
0.0000E+000,9.237013096673262e-14
0.4912E-001,1.1583290859691487e-13
0.1006E+000,1.4475014322852583e-13
0.1547E+000,1.8009290654973582e-13
0.2114E+000,2.2293465295027094e-13
0.2709E+000,2.7448876171187425e-13
0.3333E+000,3.360605272625248e-13
0.3988E+000,4.091080297585724e-13
0.4675E+000,4.950517130720705e-13
0.5396E+000,5.953983862531164e-13
0.6152E+000,7.115111466378109e-13
0.6945E+000,8.447584152338867e-13
0.7778E+000,9.958813177899288e-13
0.8651E+000,1.1654504506564796e-12
0.9567E+000,1.3534619254440925e-12
0.1053E+001,1.558831257504656e-12
0.1154E+001,1.7803157440718902e-12
0.1259E+001,2.0150989771544056e-12
0.1370E+001,2.2600557164636842e-12
0.1487E+001,2.511014824935229e-12
0.1609E+001,2.7633061709246533e-12
0.1737E+001,3.012363053024989e-12
0.1871E+001,3.2535017299955606e-12
0.2013E+001,3.481990584607471e-12
0.2160E+001,3.682187396651448e-12
0.2316E+001,3.8366766387762285e-12
0.2479E+001,3.941237808824902e-12
0.2649E+001,3.994606549409344e-12
0.2829E+001,3.998953721216297e-12
0.3017E+001,3.9604087470265524e-12
0.3214E+001,3.885289459754676e-12
0.3421E+001,3.780849486228374e-12
0.3638E+001,3.6542300584534675e-12
0.3866E+001,3.5120758048604787e-12
0.4105E+001,3.359824799210114e-12
0.4356E+001,3.202000803427671e-12
0.4619E+001,3.0418810470941086e-12
0.4895E+001,2.8814884233181277e-12
0.5184E+001,2.7225869801428253e-12
0.5488E+001,2.5670351930756505e-12
0.5807E+001,2.4158458867082473e-12
0.6141E+001,2.269609501886557e-12
0.6492E+001,2.128756605895892e-12
0.6859E+001,1.993036164007453e-12
0.7246E+001,1.8621252912295493e-12
0.7650E+001,1.7354580503963728e-12
0.8075E+001,1.6119951728840831e-12
0.8521E+001,1.4909550053513526e-12
0.8989E+001,1.3713282863548888e-12
0.9479E+001,1.2526222712787443e-12
0.9994E+001,1.1339213001006517e-12
0.1053E+002,1.0141420431414652e-12
0.1110E+002,8.922276915096531e-13
0.1169E+002,7.680729441994173e-13
0.1232E+002,6.426495994367657e-13
0.1297E+002,5.165126961517729e-13
0.1366E+002,3.89228409423691e-13
0.1438E+002,2.6052484080659644e-13
0.1513E+002,1.2981689170805424e-13
0.1593E+002,0.0
