z,k(s^-1)
0.0000E+000,1.3103779893568616e-14
0.4912E-001,1.549823802923712e-14
0.1006E+000,1.827555556520432e-14
0.1547E+000,2.146748212872336e-14
0.2114E+000,2.5098212062555075e-14
0.2709E+000,2.9192640811810274e-14
0.3333E+000,3.377349594520108e-14
0.3988E+000,3.886260616509687e-14
0.4675E+000,4.44643489664792e-14
0.5396E+000,5.0578948101257035e-14
0.6152E+000,5.718890615027267e-14
0.6945E+000,6.424801672137355e-14
0.7778E+000,7.169974458256038e-14
0.8651E+000,7.945420835067995e-14
0.9567E+000,8.738873013173958e-14
0.1053E+001,9.537288493947097e-14
0.1154E+001,1.0325184671689425e-13
0.1259E+001,1.1081250653391494e-13
0.1370E+001,1.1782400940822994e-13
0.1487E+001,1.2412807950738177e-13
0.1609E+001,1.292862876478425e-13
0.1737E+001,1.3310624269878872e-13
0.1871E+001,1.353639463015846e-13
0.2013E+001,1.365660916681905e-13
0.2160E+001,1.3719719099317242e-13
0.2316E+001,1.3669857479650912e-13
0.2479E+001,1.3493627772837987e-13
0.2649E+001,1.318943948201645e-13
0.2829E+001,1.277217244217044e-13
0.3017E+001,1.227337146108607e-13
0.3214E+001,1.1724544139917297e-13
0.3421E+001,1.1148801885754219e-13
0.3638E+001,1.0558255085471679e-13
0.3866E+001,9.959867917512832e-14
0.4105E+001,9.360796237078547e-14
0.4356E+001,8.7680519215492e-14
0.4619E+001,8.187957662676382e-14
0.4895E+001,7.622260831561917e-14
0.5184E+001,7.063715187416267e-14
0.5488E+001,6.474608367926202e-14
0.5807E+001,5.8891278967552e-14
0.6141E+001,5.3820652079922156e-14
0.6492E+001,4.952210186571164e-14
0.6859E+001,4.579042964827479e-14
0.7246E+001,4.2427305010127764e-14
0.7650E+001,3.9311186036461195e-14
0.8075E+001,3.638832397479083e-14
0.8521E+001,3.363117534384911e-14
0.8989E+001,3.1018621559533896e-14
0.9479E+001,2.854143471386658e-14
0.9994E+001,2.6188263640458363e-14
0.1053E+002,2.3941408601420517e-14
0.1110E+002,2.1758566667440637e-14
0.1169E+002,1.9588470577714988e-14
0.1232E+002,1.735193516097622e-14
0.1297E+002,1.5010757581549698e-14
0.1366E+002,1.2484976081750802e-14
0.1438E+002,9.736291491187316e-15
0.1513E+002,6.56993558171269e-15
0.1593E+002,0.0
