z,k(s^-1)
0.0000E+000,1.6303552137999153e-12
0.4912E-001,1.8856242394287976e-12
0.1006E+000,2.1783711273873204e-12
0.1547E+000,2.5123752821186484e-12
0.2114E+000,2.8917949253227387e-12
0.2709E+000,3.3207248260210922e-12
0.3333E+000,3.803133053305381e-12
0.3988E+000,4.343141121939761e-12
0.4675E+000,4.9442304630021625e-12
0.5396E+000,5.6106820440246945e-12
0.6152E+000,6.345109546110653e-12
0.6945E+000,7.149396470822866e-12
0.7778E+000,8.022344516822743e-12
0.8651E+000,8.96033550604228e-12
0.9567E+000,9.956780188551616e-12
0.1053E+001,1.1003815363812152e-11
0.1154E+001,1.2091312702807256e-11
0.1259E+001,1.3205242516927911e-11
0.1370E+001,1.4328800922271547e-11
0.1487E+001,1.544172010964495e-11
0.1609E+001,1.6526266390269173e-11
0.1737E+001,1.7572503995328283e-11
0.1871E+001,1.8595641212599812e-11
0.2013E+001,1.9633756049858245e-11
0.2160E+001,2.0612917062937896e-11
0.2316E+001,2.1371485071099987e-11
0.2479E+001,2.1879175224258776e-11
0.2649E+001,2.2118448160247315e-11
0.2829E+001,2.2085833703370975e-11
0.3017E+001,2.18010596443347e-11
0.3214E+001,2.1291959763486198e-11
0.3421E+001,2.059660719761697e-11
0.3638E+001,1.975529040144861e-11
0.3866E+001,1.8806621116064253e-11
0.4105E+001,1.7789037115269393e-11
0.4356E+001,1.6735778201674185e-11
0.4619E+001,1.5675694481068828e-11
0.4895E+001,1.4626980535358715e-11
0.5184E+001,1.3574953893463764e-11
0.5488E+001,1.244478464356856e-11
0.5807E+001,1.1318588007598848e-11
0.6141E+001,1.0357639045990697e-11
0.6492E+001,9.551600313487707e-12
0.6859E+001,8.851533256499402e-12
0.7246E+001,8.219561916850502e-12
0.7650E+001,7.634154715682158e-12
0.8075E+001,7.084628518582195e-12
0.8521E+001,6.565257978386428e-12
0.8989E+001,6.071737952127604e-12
0.9479E+001,5.602576193397409e-12
0.9994E+001,5.155382150306258e-12
0.1053E+002,4.726016189234195e-12
0.1110E+002,4.307112191722675e-12
0.1169E+002,3.888898687275953e-12
0.1232E+002,3.4556613244063325e-12
0.1297E+002,2.999812337470323e-12
0.1366E+002,2.5046321892806267e-12
0.1438E+002,1.9638391388227734e-12
0.1513E+002,1.334056420163528e-12
0.1593E+002,0.0
