z,k(s^-1)
0.0000E+000,2.5662787290748505e-15
0.4912E-001,3.183123664230769e-15
0.1006E+000,3.93838129111884e-15
0.1547E+000,4.871411159870369e-15
0.2114E+000,6.0081023604709156e-15
0.2709E+000,7.39758097450563e-15
0.3333E+000,9.075183238890243e-15
0.3988E+000,1.1106857716595428e-14
0.4675E+000,1.3574330335015035e-14
0.5396E+000,1.6485798606468978e-14
0.6152E+000,1.9966831903143193e-14
0.6945E+000,2.404526758608438e-14
0.7778E+000,2.8794619487163795e-14
0.8651E+000,3.4230655677514613e-14
0.9567E+000,4.035783588001151e-14
0.1053E+001,4.7171654795654646e-14
0.1154E+001,5.449524339103705e-14
0.1259E+001,6.211699000033133e-14
0.1370E+001,6.978358795716272e-14
0.1487E+001,7.72620139110518e-14
0.1609E+001,8.384416596104789e-14
0.1737E+001,8.952528266267391e-14
0.1871E+001,9.389018528969354e-14
0.2013E+001,9.661518950302128e-14
0.2160E+001,9.762992369785323e-14
0.2316E+001,9.650109551438942e-14
0.2479E+001,9.320192038514262e-14
0.2649E+001,8.791343511013164e-14
0.2829E+001,8.107930661270793e-14
0.3017E+001,7.345207498502018e-14
0.3214E+001,6.595534114872103e-14
0.3421E+001,5.925220600631887e-14
0.3638E+001,5.3516540327873905e-14
0.3866E+001,4.871310192526169e-14
0.4105E+001,4.478988725389459e-14
0.4356E+001,4.1698929688034433e-14
0.4619E+001,3.937744574225429e-14
0.4895E+001,3.764871830968614e-14
0.5184E+001,3.604664518719978e-14
0.5488E+001,3.522373615649804e-14
0.5807E+001,3.0346432999622984e-14
0.6141E+001,2.5097251077751006e-14
0.6492E+001,1.9700961398803498e-14
0.6859E+001,1.453767964279201e-14
0.7246E+001,1.0226443561959689e-14
0.7650E+001,7.414321411180418e-15
0.8075E+001,6.219315959983352e-15
0.8521E+001,6.10028347294809e-15
0.8989E+001,6.392770957666678e-15
0.9479E+001,6.7762300118264955e-15
0.9994E+001,7.192614157767962e-15
0.1053E+002,7.64870367833202e-15
0.1110E+002,8.15880986837161e-15
0.1169E+002,8.795281422558404e-15
0.1232E+002,8.599817401275623e-15
0.1297E+002,8.346292719582081e-15
0.1366E+002,8.04885200202862e-15
0.1438E+002,7.7202413300772e-15
0.1513E+002,7.362455716344891e-15
0.1593E+002,0.0
