z,k(s^-1)
0.0000E+000,2.1272295241083654e-13
0.4912E-001,2.4617238175664874e-13
0.1006E+000,2.8503830628633006e-13
0.1547E+000,3.29880848919241e-13
0.2114E+000,3.8133566458136786e-13
0.2709E+000,4.4020780682960617e-13
0.3333E+000,5.072766059586483e-13
0.3988E+000,5.835096715353526e-13
0.4675E+000,6.69960477022969e-13
0.5396E+000,7.678064363341215e-13
0.6152E+000,8.781804548741858e-13
0.6945E+000,1.0022759420725544e-12
0.7778E+000,1.141345133465095e-12
0.8651E+000,1.2961978297325091e-12
0.9567E+000,1.4678478600585534e-12
0.1053E+001,1.6570152641341763e-12
0.1154E+001,1.8641124667924228e-12
0.1259E+001,2.088060753625655e-12
0.1370E+001,2.3267739674837657e-12
0.1487E+001,2.5752455075902442e-12
0.1609E+001,2.828118277122075e-12
0.1737E+001,3.090225718603751e-12
0.1871E+001,3.4077257523858208e-12
0.2013E+001,3.834992212395643e-12
0.2160E+001,4.330668157120375e-12
0.2316E+001,4.803790785122146e-12
0.2479E+001,5.228079188116152e-12
0.2649E+001,5.576962499230392e-12
0.2829E+001,5.828236730917019e-12
0.3017E+001,5.9729471514146645e-12
0.3214E+001,6.010729595637013e-12
0.3421E+001,5.947094081886988e-12
0.3638E+001,5.793354156857206e-12
0.3866E+001,5.564056009661876e-12
0.4105E+001,5.276569577889327e-12
0.4356E+001,4.950164616545732e-12
0.4619E+001,4.603357960497729e-12
0.4895E+001,4.233784752438242e-12
0.5184E+001,3.811037144033499e-12
0.5488E+001,3.2021766634190725e-12
0.5807E+001,2.629839529945729e-12
0.6141E+001,2.2867577394894483e-12
0.6492E+001,2.1144780626394593e-12
0.6859E+001,2.0034188342085297e-12
0.7246E+001,1.902083082901403e-12
0.7650E+001,1.8031775980115416e-12
0.8075E+001,1.707025994109665e-12
0.8521E+001,1.6141483220874904e-12
0.8989E+001,1.5248127671159413e-12
0.9479E+001,1.440194375283042e-12
0.9994E+001,1.3626719608918323e-12
0.1053E+002,1.293570276539813e-12
0.1110E+002,1.2310197840669975e-12
0.1169E+002,1.1693215264292461e-12
0.1232E+002,1.1055664228223657e-12
0.1297E+002,1.040339379647943e-12
0.1366E+002,9.727029805722717e-13
0.1438E+002,9.009469429489524e-13
0.1513E+002,7.861860955056484e-13
0.1593E+002,0.0
