z,k(s^-1)
0.0000E+000,1.0334501822828096e-12
0.4912E-001,1.1953174737392424e-12
0.1006E+000,1.3809023787104683e-12
0.1547E+000,1.5925772080219082e-12
0.2114E+000,1.832933930039141e-12
0.2709E+000,2.104524935535641e-12
0.3333E+000,2.4098196580641435e-12
0.3988E+000,2.75136521548467e-12
0.4675E+000,3.1313112870384104e-12
0.5396E+000,3.5522686028234257e-12
0.6152E+000,4.015806235249564e-12
0.6945E+000,4.522998004099143e-12
0.7778E+000,5.0729771914151186e-12
0.8651E+000,5.66334347334015e-12
0.9567E+000,6.289794010977741e-12
0.1053E+001,6.947249228039938e-12
0.1154E+001,7.62917223995904e-12
0.1259E+001,8.326550661914019e-12
0.1370E+001,9.028599552221543e-12
0.1487E+001,9.722464529893389e-12
0.1609E+001,1.0396718765598964e-11
0.1737E+001,1.1044909616915718e-11
0.1871E+001,1.1675973468028207e-11
0.2013E+001,1.2313468313195475e-11
0.2160E+001,1.2912219856441276e-11
0.2316E+001,1.3372810987194256e-11
0.2479E+001,1.3676676531495888e-11
0.2649E+001,1.3813319511043182e-11
0.2829E+001,1.3781094790547046e-11
0.3017E+001,1.3592804296687347e-11
0.3214E+001,1.3266315953294994e-11
0.3421E+001,1.2825638146331625e-11
0.3638E+001,1.2295827300045922e-11
0.3866E+001,1.1700713403263965e-11
0.4105E+001,1.1063960981923316e-11
0.4356E+001,1.0406000954156679e-11
0.4619E+001,9.744539454809199e-12
0.4895E+001,9.090766069790987e-12
0.5184E+001,8.43563892096111e-12
0.5488E+001,7.73325878155338e-12
0.5807E+001,7.0340321562756045e-12
0.6141E+001,6.437089078155117e-12
0.6492E+001,5.9357630180190685e-12
0.6859E+001,5.499764652066298e-12
0.7246E+001,5.105831561376635e-12
0.7650E+001,4.740841089302698e-12
0.8075E+001,4.398324344894911e-12
0.8521E+001,4.0747670898580556e-12
0.8989E+001,3.767459576440738e-12
0.9479E+001,3.475418024899178e-12
0.9994E+001,3.1971040546009713e-12
0.1053E+002,2.9299088021621343e-12
0.1110E+002,2.6692466241390256e-12
0.1169E+002,2.409090926182537e-12
0.1232E+002,2.139731121025475e-12
0.1297E+002,1.856415517276643e-12
0.1366E+002,1.5487687755913362e-12
0.1438E+002,1.2128784942222435e-12
0.1513E+002,8.219284691603069e-13
0.1593E+002,0.0
