z,k(s^-1)
0.0000E+000,3.0963619229720386e-18
0.4912E-001,3.980811944210366e-18
0.1006E+000,5.07355481897106e-18
0.1547E+000,6.396623817240088e-18
0.2114E+000,7.962850945347845e-18
0.2709E+000,9.782586258172443e-18
0.3333E+000,1.1875000614608306e-17
0.3988E+000,1.4254161663219764e-17
0.4675E+000,1.692265024165249e-17
0.5396E+000,1.987328441138275e-17
0.6152E+000,2.308302325067481e-17
0.6945E+000,2.6510305134311346e-17
0.7778E+000,3.010115213926064e-17
0.8651E+000,3.3787892137588666e-17
0.9567E+000,3.7476616353439744e-17
0.1053E+001,4.108708154920907e-17
0.1154E+001,4.452556816771133e-17
0.1259E+001,4.766658245675401e-17
0.1370E+001,5.036217583547628e-17
0.1487E+001,5.2404458460922855e-17
0.1609E+001,5.355717705317102e-17
0.1737E+001,5.345029448655575e-17
0.1871E+001,5.159982740748154e-17
0.2013E+001,4.8317151076272056e-17
0.2160E+001,4.485456850027168e-17
0.2316E+001,4.150351619840771e-17
0.2479E+001,3.825548064576239e-17
0.2649E+001,3.511050423466348e-17
0.2829E+001,3.207926563330626e-17
0.3017E+001,2.9197560241540415e-17
0.3214E+001,2.6498611104982775e-17
0.3421E+001,2.4008412445089543e-17
0.3638E+001,2.1743443720553178e-17
0.3866E+001,1.9715030671361886e-17
0.4105E+001,1.7915572093879232e-17
0.4356E+001,1.6326981679726804e-17
0.4619E+001,1.491677209784144e-17
0.4895E+001,1.3657398330864075e-17
0.5184E+001,1.2525825227610735e-17
0.5488E+001,1.1498713501882948e-17
0.5807E+001,1.0562127131792392e-17
0.6141E+001,9.703231483773634e-18
0.6492E+001,8.915457748150847e-18
0.6859E+001,8.191601011404513e-18
0.7246E+001,7.525673413153964e-18
0.7650E+001,6.9133007830647066e-18
0.8075E+001,6.348568253444129e-18
0.8521E+001,5.82861338274329e-18
0.8989E+001,5.3469038624629386e-18
0.9479E+001,4.899691057742737e-18
0.9994E+001,4.480925696894415e-18
0.1053E+002,4.08459091524628e-18
0.1110E+002,3.7035140359950426e-18
0.1169E+002,3.327180341872176e-18
0.1232E+002,2.9432842130355572e-18
0.1297E+002,2.5334862068618465e-18
0.1366E+002,2.074347909034443e-18
0.1438E+002,1.5323531462571511e-18
0.1513E+002,8.620517774099136e-19
0.1593E+002,0.0
