z,k(s^-1)
0.0000E+000,5.66357676472219e-14
0.4912E-001,6.587506001309264e-14
0.1006E+000,7.639035143614782e-14
0.1547E+000,8.824696520350376e-14
0.2114E+000,1.0147542151399396e-13
0.2709E+000,1.1609606895200573e-13
0.3333E+000,1.3211919926298948e-13
0.3988E+000,1.4952202415834495e-13
0.4675E+000,1.682306261241387e-13
0.5396E+000,1.8813670233029951e-13
0.6152E+000,2.0905933276015666e-13
0.6945E+000,2.3073843349223323e-13
0.7778E+000,2.528336814945849e-13
0.8651E+000,2.7494101843419737e-13
0.9567E+000,2.965431176528942e-13
0.1053E+001,3.1717269054550997e-13
0.1154E+001,3.363320899964794e-13
0.1259E+001,3.5343302230634376e-13
0.1370E+001,3.678440010290248e-13
0.1487E+001,3.7890592311086026e-13
0.1609E+001,3.8596449129918913e-13
0.1737E+001,3.8830719986483866e-13
0.1871E+001,3.853052554834046e-13
0.2013E+001,3.785494342585788e-13
0.2160E+001,3.704612209279191e-13
0.2316E+001,3.6079825630424873e-13
0.2479E+001,3.49457517774542e-13
0.2649E+001,3.3648071419736503e-13
0.2829E+001,3.219990012187315e-13
0.3017E+001,3.062820973939798e-13
0.3214E+001,2.896237352119323e-13
0.3421E+001,2.723787239118546e-13
0.3638E+001,2.5487381815006786e-13
0.3866E+001,2.3740732168112047e-13
0.4105E+001,2.2024442396400287e-13
0.4356E+001,2.0360576354779414e-13
0.4619E+001,1.876772146471859e-13
0.4895E+001,1.7262944307019112e-13
0.5184E+001,1.5843529273705164e-13
0.5488E+001,1.4470997463903674e-13
0.5807E+001,1.3182703839321346e-13
0.6141E+001,1.203875603802148e-13
0.6492E+001,1.1024511783029216e-13
0.6859E+001,1.0110818620068101e-13
0.7246E+001,9.275924128589009e-14
0.7650E+001,8.50539212406584e-14
0.8075E+001,7.789903027673696e-14
0.8521E+001,7.12260055400349e-14
0.8989E+001,6.497207604564578e-14
0.9479E+001,5.909195514439128e-14
0.9994E+001,5.3531748143733336e-14
0.1053E+002,4.8224786044250236e-14
0.1110E+002,4.3096987104239014e-14
0.1169E+002,3.805733601813383e-14
0.1232E+002,3.297813886399545e-14
0.1297E+002,2.7760141305077083e-14
0.1366E+002,2.2262143883162433e-14
0.1438E+002,1.6400763485564467e-14
0.1513E+002,9.88807301618905e-15
0.1593E+002,0.0
