z,k(s^-1)
0.0000E+000,1.4835977905076582e-13
0.4912E-001,1.707020736198283e-13
0.1006E+000,1.96906475278698e-13
0.1547E+000,2.2746866800243303e-13
0.2114E+000,2.630273163967699e-13
0.2709E+000,3.043910332886596e-13
0.3333E+000,3.5235038930945696e-13
0.3988E+000,4.079333671008248e-13
0.4675E+000,4.723316546156707e-13
0.5396E+000,5.469305556608144e-13
0.6152E+000,6.331590327077206e-13
0.6945E+000,7.326170331071791e-13
0.7778E+000,8.470351034500365e-13
0.8651E+000,9.777598850046942e-13
0.9567E+000,1.126472479678218e-12
0.1053E+001,1.2945109896845316e-12
0.1154E+001,1.4830336059494502e-12
0.1259E+001,1.691780564943066e-12
0.1370E+001,1.9196556432473408e-12
0.1487E+001,2.1626812729927277e-12
0.1609E+001,2.4165300615523548e-12
0.1737E+001,2.6872515112904906e-12
0.1871E+001,3.0224419149546755e-12
0.2013E+001,3.47387138244991e-12
0.2160E+001,3.994737131500491e-12
0.2316E+001,4.4929000950027184e-12
0.2479E+001,4.942192096012911e-12
0.2649E+001,5.315941286453573e-12
0.2829E+001,5.591661493656742e-12
0.3017E+001,5.759825684243179e-12
0.3214E+001,5.8193005538486646e-12
0.3421E+001,5.775057982337762e-12
0.3638E+001,5.638391289319997e-12
0.3866E+001,5.424079479746452e-12
0.4105E+001,5.1497915253762715e-12
0.4356E+001,4.835046026960318e-12
0.4619E+001,4.498586298483094e-12
0.4895E+001,4.1382614018166835e-12
0.5184E+001,3.723861352135139e-12
0.5488E+001,3.1226246890242376e-12
0.5807E+001,2.5572632648492024e-12
0.6141E+001,2.2205893014318326e-12
0.6492E+001,2.054226018992566e-12
0.6859E+001,1.9486507944274848e-12
0.7246E+001,1.8524125550235535e-12
0.7650E+001,1.7582594062146359e-12
0.8075E+001,1.666553475590114e-12
0.8521E+001,1.5778421978236183e-12
0.8989E+001,1.4924167819600483e-12
0.9479E+001,1.4114755742292458e-12
0.9994E+001,1.3374097268612292e-12
0.1053E+002,1.2715543724150948e-12
0.1110E+002,1.212049834020843e-12
0.1169E+002,1.1531974694335964e-12
0.1232E+002,1.0921226104143496e-12
0.1297E+002,1.0294655111496395e-12
0.1366E+002,9.643397360534008e-13
0.1438E+002,8.951090330950234e-13
0.1513E+002,7.83034406196393e-13
0.1593E+002,0.0
