z,k(s^-1)
0.0000E+000,2.9884328613576907e-12
0.4912E-001,3.4521070620762164e-12
0.1006E+000,3.9829096487347035e-12
0.1547E+000,4.587450137499103e-12
0.2114E+000,5.272956927429465e-12
0.2709E+000,6.04648499968046e-12
0.3333E+000,6.914826308488501e-12
0.3988E+000,7.884860077971434e-12
0.4675E+000,8.962425950065811e-12
0.5396E+000,1.0154650566835237e-11
0.6152E+000,1.1465581113652579e-11
0.6945E+000,1.2897933870103247e-11
0.7778E+000,1.4448776960428575e-11
0.8651E+000,1.6110807072586007e-11
0.9567E+000,1.7871359019716304e-11
0.1053E+001,1.9715727014956453e-11
0.1154E+001,2.1625355562891917e-11
0.1259E+001,2.357502116833991e-11
0.1370E+001,2.5534636778837346e-11
0.1487E+001,2.746867202892873e-11
0.1609E+001,2.934649933960902e-11
0.1737E+001,3.115032713591222e-11
0.1871E+001,3.29056724210156e-11
0.2013E+001,3.467511662009509e-11
0.2160E+001,3.632907820811834e-11
0.2316E+001,3.7594376968337345e-11
0.2479E+001,3.842102039274432e-11
0.2649E+001,3.8781320759147444e-11
0.2829E+001,3.867156099200064e-11
0.3017E+001,3.812715260494515e-11
0.3214E+001,3.719691903623948e-11
0.3421E+001,3.59471700750661e-11
0.3638E+001,3.444802177846046e-11
0.3866E+001,3.276643784901763e-11
0.4105E+001,3.096905057931694e-11
0.4356E+001,2.911320125212279e-11
0.4619E+001,2.7248547966160647e-11
0.4895E+001,2.5407417502575218e-11
0.5184E+001,2.356665695456673e-11
0.5488E+001,2.160254884315212e-11
0.5807E+001,1.96582910716909e-11
0.6141E+001,1.7997446396893027e-11
0.6492E+001,1.6599808157247757e-11
0.6859E+001,1.538120204268756e-11
0.7246E+001,1.4277671292299745e-11
0.7650E+001,1.3253542990358216e-11
0.8075E+001,1.2291568762727232e-11
0.8521E+001,1.1382366071055035e-11
0.8989E+001,1.0518575760665518e-11
0.9479E+001,9.697592237627535e-12
0.9994E+001,8.915012221736468e-12
0.1053E+002,8.163349508383135e-12
0.1110E+002,7.42978515671946e-12
0.1169E+002,6.697606563185538e-12
0.1232E+002,5.941249625367092e-12
0.1297E+002,5.146318297247867e-12
0.1366E+002,4.2839904026079406e-12
0.1438E+002,3.343434911032724e-12
0.1513E+002,2.2509871591626326e-12
0.1593E+002,0.0
