z,k(s^-1)
0.0000E+000,1.1244128978676967e-12
0.4912E-001,1.297236376253155e-12
0.1006E+000,1.494710962746736e-12
0.1547E+000,1.7191959531362731e-12
0.2114E+000,1.9732605041132278e-12
0.2709E+000,2.2593854928485058e-12
0.3333E+000,2.579935735222077e-12
0.3988E+000,2.9372599991567697e-12
0.4675E+000,3.3333452575589212e-12
0.5396E+000,3.770629763027725e-12
0.6152E+000,4.250354702212785e-12
0.6945E+000,4.773298795386224e-12
0.7778E+000,5.338105148042279e-12
0.8651E+000,5.941784292967373e-12
0.9567E+000,6.57941592023723e-12
0.1053E+001,7.245376982917643e-12
0.1154E+001,7.93273182694551e-12
0.1259E+001,8.632220252514727e-12
0.1370E+001,9.332836646495043e-12
0.1487E+001,1.0021801310857475e-11
0.1609E+001,1.0688309490585178e-11
0.1737E+001,1.1326017781758544e-11
0.1871E+001,1.1944314231194335e-11
0.2013E+001,1.2564595827002e-11
0.2160E+001,1.3140081227681749e-11
0.2316E+001,1.357526620879291e-11
0.2479E+001,1.3853067570957746e-11
0.2649E+001,1.3964387041587111e-11
0.2829E+001,1.3908468988579048e-11
0.3017E+001,1.3698163365950049e-11
0.3214E+001,1.3350954151914764e-11
0.3421E+001,1.2890487996864479e-11
0.3638E+001,1.2341874423104134e-11
0.3866E+001,1.172905198820663e-11
0.4105E+001,1.1075859316710945e-11
0.4356E+001,1.0402756586452731e-11
0.4619E+001,9.72742851883274e-12
0.4895E+001,9.061694941148007e-12
0.5184E+001,8.397854042070442e-12
0.5488E+001,7.692740119330127e-12
0.5807E+001,6.999412985393723e-12
0.6141E+001,6.408385888000097e-12
0.6492E+001,5.910874933546827e-12
0.6859E+001,5.475983493678941e-12
0.7246E+001,5.081259297604221e-12
0.7650E+001,4.714555284714828e-12
0.8075E+001,4.370011040512862e-12
0.8521E+001,4.044383561293685e-12
0.8989E+001,3.735094180478674e-12
0.9479E+001,3.441191704118165e-12
0.9994E+001,3.161166560742026e-12
0.1053E+002,2.8921767195260717e-12
0.1110E+002,2.629699439757828e-12
0.1169E+002,2.367855803178844e-12
0.1232E+002,2.0979585874648518e-12
0.1297E+002,1.8146200599079833e-12
0.1366E+002,1.5075088167657337e-12
0.1438E+002,1.1727412723551516e-12
0.1513E+002,7.843327842592758e-13
0.1593E+002,0.0
