z,k(s^-1)
0.0000E+000,3.962657407226984e-12
0.4912E-001,4.568721592576238e-12
0.1006E+000,5.2606258812614e-12
0.1547E+000,6.046476307913546e-12
0.2114E+000,6.9350823774690345e-12
0.2709E+000,7.934902834213777e-12
0.3333E+000,9.053977912122735e-12
0.3988E+000,1.0300227971502132e-11
0.4675E+000,1.1680274156276217e-11
0.5396E+000,1.320231759344049e-11
0.6152E+000,1.487033766348899e-11
0.6945E+000,1.6686633334594126e-11
0.7778E+000,1.8646010578045944e-11
0.8651E+000,2.073762742880717e-11
0.9567E+000,2.2943760747228504e-11
0.1053E+001,2.5244502299737024e-11
0.1154E+001,2.7615341507852147e-11
0.1259E+001,3.0023929032013896e-11
0.1370E+001,3.243188198282112e-11
0.1487E+001,3.479472002025296e-11
0.1609E+001,3.707532520155977e-11
0.1737E+001,3.9251008266668696e-11
0.1871E+001,4.135170314051516e-11
0.2013E+001,4.3450548591794306e-11
0.2160E+001,4.539017599187949e-11
0.2316E+001,4.684533928036184e-11
0.2479E+001,4.7759267633894994e-11
0.2649E+001,4.8102725785343785e-11
0.2829E+001,4.787468639266909e-11
0.3017E+001,4.7120179470922616e-11
0.3214E+001,4.589965013062698e-11
0.3421E+001,4.429449476054496e-11
0.3638E+001,4.239086265103705e-11
0.3866E+001,4.0270654920075066e-11
0.4105E+001,3.80153666093843e-11
0.4356E+001,3.569472410597989e-11
0.4619E+001,3.336931942905544e-11
0.4895E+001,3.1080242033082664e-11
0.5184E+001,2.8802435284640306e-11
0.5488E+001,2.639137026584363e-11
0.5807E+001,2.4017242994551125e-11
0.6141E+001,2.1984408302788487e-11
0.6492E+001,2.026789953777252e-11
0.6859E+001,1.8768030684984928e-11
0.7246E+001,1.7408901920238173e-11
0.7650E+001,1.6147720502836276e-11
0.8075E+001,1.4963556916942e-11
0.8521E+001,1.3844905831714853e-11
0.8989E+001,1.2782741745758566e-11
0.9479E+001,1.1773884668568515e-11
0.9994E+001,1.081272933572544e-11
0.1053E+002,9.889879358192465e-12
0.1110E+002,8.989816029659619e-12
0.1169E+002,8.092305505256302e-12
0.1232E+002,7.16740464906314e-12
0.1297E+002,6.196892175000799e-12
0.1366E+002,5.1462707301199875e-12
0.1438E+002,4.002526210500037e-12
0.1513E+002,2.678404387551123e-12
0.1593E+002,0.0
