z,k(s^-1)
0.0000E+000,6.661291387261417e-14
0.4912E-001,7.701341553114097e-14
0.1006E+000,8.890411852414961e-14
0.1547E+000,1.0242829022242628e-13
0.2114E+000,1.1773990778724106e-13
0.2709E+000,1.3498568474233831e-13
0.3333E+000,1.5430339614276648e-13
0.3988E+000,1.758203373922966e-13
0.4675E+000,1.9964946247714856e-13
0.5396E+000,2.259157489434585e-13
0.6152E+000,2.5466998518468204e-13
0.6945E+000,2.8593625650982973e-13
0.7778E+000,3.1960046052740505e-13
0.8651E+000,3.5544523961898686e-13
0.9567E+000,3.931343441915371e-13
0.1053E+001,4.322699792707114e-13
0.1154E+001,4.723949531098266e-13
0.1259E+001,5.129135332426479e-13
0.1370E+001,5.531380068281901e-13
0.1487E+001,5.923505629569353e-13
0.1609E+001,6.299334327755388e-13
0.1737E+001,6.653780065581018e-13
0.1871E+001,6.98597501079038e-13
0.2013E+001,7.293502194330469e-13
0.2160E+001,7.549271465359581e-13
0.2316E+001,7.718610114336746e-13
0.2479E+001,7.796711825807813e-13
0.2649E+001,7.783799634191373e-13
0.2829E+001,7.684642653408854e-13
0.3017E+001,7.509734350003787e-13
0.3214E+001,7.270560694768325e-13
0.3421E+001,6.980901786227933e-13
0.3638E+001,6.654248046682778e-13
0.3866E+001,6.302807049997243e-13
0.4105E+001,5.93795175301872e-13
0.4356E+001,5.568659949523367e-13
0.4619E+001,5.201936021864276e-13
0.4895E+001,4.844660728079156e-13
0.5184E+001,4.4987276112870616e-13
0.5488E+001,4.161416935946922e-13
0.5807E+001,3.8525586058457055e-13
0.6141E+001,3.573639003426451e-13
0.6492E+001,3.317329389787497e-13
0.6859E+001,3.0767249272330116e-13
0.7246E+001,2.8495886875088815e-13
0.7650E+001,2.6344675670814163e-13
0.8075E+001,2.430408349974252e-13
0.8521E+001,2.2365501531940417e-13
0.8989E+001,2.0517261308800676e-13
0.9479E+001,1.8753101470937956e-13
0.9994E+001,1.7055475708832636e-13
0.1053E+002,1.5400459082224022e-13
0.1110E+002,1.3762937877960873e-13
0.1169E+002,1.2122823902665073e-13
0.1232E+002,1.0461082217318157e-13
0.1297E+002,8.736626395018885e-14
0.1366E+002,6.896080160157609e-14
0.1438E+002,4.921168898439396e-14
0.1513E+002,2.7277147850856686e-14
0.1593E+002,0.0
