z,k(s^-1)
0.0000E+000,3.0377639707572925e-12
0.4912E-001,3.5120976868879504e-12
0.1006E+000,4.0556762025636114e-12
0.1547E+000,4.675406917961326e-12
0.2114E+000,5.378856650581064e-12
0.2709E+000,6.173451334571987e-12
0.3333E+000,7.0663540195480865e-12
0.3988E+000,8.064922118724804e-12
0.4675E+000,9.175391056851574e-12
0.5396E+000,1.0405360402124914e-11
0.6152E+000,1.1759341636312844e-11
0.6945E+000,1.3240444873885058e-11
0.7778E+000,1.4846049855835425e-11
0.8651E+000,1.6569035121055242e-11
0.9567E+000,1.8396754871529606e-11
0.1053E+001,2.0314351013311776e-11
0.1154E+001,2.2302845815413946e-11
0.1259E+001,2.4336232917840896e-11
0.1370E+001,2.6383432995740302e-11
0.1487E+001,2.840736819755937e-11
0.1609E+001,3.037576022618546e-11
0.1737E+001,3.2270288228917323e-11
0.1871E+001,3.411801505737088e-11
0.2013E+001,3.5985883422405904e-11
0.2160E+001,3.773884955505362e-11
0.2316E+001,3.908776380317528e-11
0.2479E+001,3.997907938804552e-11
0.2649E+001,4.038251799566084e-11
0.2829E+001,4.029313881215868e-11
0.3017E+001,3.9747474231670194e-11
0.3214E+001,3.8796409997653166e-11
0.3421E+001,3.750926587598728e-11
0.3638E+001,3.5959362260105184e-11
0.3866E+001,3.4216822096087536e-11
0.4105E+001,3.235140759061168e-11
0.4356E+001,3.042325744316763e-11
0.4619E+001,2.8484482689833005e-11
0.4895E+001,2.656846944189907e-11
0.5184E+001,2.4649750385155515e-11
0.5488E+001,2.2596422581274574e-11
0.5807E+001,2.0557144195608466e-11
0.6141E+001,1.8815921282999952e-11
0.6492E+001,1.735239189725059e-11
0.6859E+001,1.607818011273262e-11
0.7246E+001,1.49258710307251e-11
0.7650E+001,1.3857612178862657e-11
0.8075E+001,1.2854811540688194e-11
0.8521E+001,1.1907304544891167e-11
0.8989E+001,1.1007218574935241e-11
0.9479E+001,1.015176194913334e-11
0.9994E+001,9.3364247819061e-12
0.1053E+002,8.553513909430508e-12
0.1110E+002,7.789656463195694e-12
0.1169E+002,7.027289740856496e-12
0.1232E+002,6.238683582876448e-12
0.1297E+002,5.4095008659346975e-12
0.1366E+002,4.509447411730858e-12
0.1438E+002,3.5270784763409017e-12
0.1513E+002,2.3842292238110993e-12
0.1593E+002,0.0
