z,k(s^-1)
0.0000E+000,1.0431502303508833e-14
0.4912E-001,1.2364962612852385e-14
0.1006E+000,1.461363418658892e-14
0.1547E+000,1.7208106399512942e-14
0.2114E+000,2.0176387395837625e-14
0.2709E+000,2.3547442487674526e-14
0.3333E+000,2.735382805291883e-14
0.3988E+000,3.162981855425774e-14
0.4675E+000,3.6398529886425096e-14
0.5396E+000,4.167331401660335e-14
0.6152E+000,4.746268210750362e-14
0.6945E+000,5.3742264516054303e-14
0.7778E+000,6.047252829228922e-14
0.8651E+000,6.758982411837454e-14
0.9567E+000,7.497405797216512e-14
0.1053E+001,8.249657243813316e-14
0.1154E+001,9.008962017971518e-14
0.1259E+001,9.738506239545791e-14
0.1370E+001,1.0399177379436031e-13
0.1487E+001,1.093561779691949e-13
0.1609E+001,1.1309268937595272e-13
0.1737E+001,1.148749613901404e-13
0.1871E+001,1.1421233901139523e-13
0.2013E+001,1.1133100807039199e-13
0.2160E+001,1.0702927330192337e-13
0.2316E+001,1.0155918008742706e-13
0.2479E+001,9.503707479275087e-14
0.2649E+001,8.76581516314481e-14
0.2829E+001,7.960646359589115e-14
0.3017E+001,7.1212619562546e-14
0.3214E+001,6.332510912160441e-14
0.3421E+001,5.681894977083047e-14
0.3638E+001,5.203035917955813e-14
0.3866E+001,4.860857253719812e-14
0.4105E+001,4.604009692693705e-14
0.4356E+001,4.4062693640492456e-14
0.4619E+001,4.240753373975747e-14
0.4895E+001,4.087334776769391e-14
0.5184E+001,3.965995603494202e-14
0.5488E+001,3.8505094593916555e-14
0.5807E+001,3.688415768263768e-14
0.6141E+001,3.496038082842156e-14
0.6492E+001,3.254178230401209e-14
0.6859E+001,2.949152378622547e-14
0.7246E+001,2.5816841571982533e-14
0.7650E+001,2.1731088776647097e-14
0.8075E+001,1.759773129156996e-14
0.8521E+001,1.3788429434280098e-14
0.8989E+001,1.0542322778716806e-14
0.9479E+001,7.936967193084903e-15
0.9994E+001,5.934058644407064e-15
0.1053E+002,4.437065131439757e-15
0.1110E+002,3.3418343668933878e-15
0.1169E+002,2.6092461744404904e-15
0.1232E+002,1.9081627881239418e-15
0.1297E+002,1.3874231216483866e-15
0.1366E+002,9.86880713701514e-16
0.1438E+002,6.566746952946823e-16
0.1513E+002,3.58841670112333e-16
0.1593E+002,0.0
