z,k(s^-1)
0.0000E+000,3.839783627149532e-13
0.4912E-001,4.517267275182525e-13
0.1006E+000,5.299503434926993e-13
0.1547E+000,6.196744429944507e-13
0.2114E+000,7.220191398032185e-13
0.2709E+000,8.379451829997711e-13
0.3333E+000,9.684072515517366e-13
0.3988E+000,1.1142403004504456e-12
0.4675E+000,1.2759653408942942e-12
0.5396E+000,1.4542490203781237e-12
0.6152E+000,1.649136864226754e-12
0.6945E+000,1.860186884297534e-12
0.7778E+000,2.0860845074083355e-12
0.8651E+000,2.324731625142787e-12
0.9567E+000,2.5722343937035512e-12
0.1053E+001,2.8248587019851703e-12
0.1154E+001,3.077920905998741e-12
0.1259E+001,3.325582117085281e-12
0.1370E+001,3.561680626187211e-12
0.1487E+001,3.779556074711041e-12
0.1609E+001,3.974290303696064e-12
0.1737E+001,4.140315007536533e-12
0.1871E+001,4.2748717509731e-12
0.2013E+001,4.375255632272045e-12
0.2160E+001,4.430038835334951e-12
0.2316E+001,4.4266161776057395e-12
0.2479E+001,4.368350118347367e-12
0.2649E+001,4.261046713149596e-12
0.2829E+001,4.1118504539347305e-12
0.3017E+001,3.9297337355489215e-12
0.3214E+001,3.722825043452886e-12
0.3421E+001,3.4996011146518437e-12
0.3638E+001,3.2673843342211193e-12
0.3866E+001,3.030930991053897e-12
0.4105E+001,2.795510323103185e-12
0.4356E+001,2.56419309065458e-12
0.4619E+001,2.3401032746061045e-12
0.4895E+001,2.1278880005500107e-12
0.5184E+001,1.9314463074708575e-12
0.5488E+001,1.7499220554171267e-12
0.5807E+001,1.5815813333547582e-12
0.6141E+001,1.4276833887547552e-12
0.6492E+001,1.2871406377842311e-12
0.6859E+001,1.1590638605764108e-12
0.7246E+001,1.0425423088654147e-12
0.7650E+001,9.3626567903208e-13
0.8075E+001,8.389401753086035e-13
0.8521E+001,7.496192389556015e-13
0.8989E+001,6.675779930053918e-13
0.9479E+001,5.921560741832915e-13
0.9994E+001,5.224689489277255e-13
0.1053E+002,4.573818544855438e-13
0.1110E+002,3.9623948342011656e-13
0.1169E+002,3.384601814090125e-13
0.1232E+002,2.82409224657933e-13
0.1297E+002,2.275611620704685e-13
0.1366E+002,1.7317032335265405e-13
0.1438E+002,1.1853427832768303e-13
0.1513E+002,6.260805886580845e-14
0.1593E+002,0.0
