Time 	 Hydrogen 	 H 	 H+ 	 H- 	 H2 	 H2+ 
5.04e+13 	 1000 	 0.254994 	 7.14265e-05 	 2.40694e-12 	 0.744935 	 1.60301e-10 
5.355e+13 	 1000 	 0.244001 	 7.00587e-05 	 2.36019e-12 	 0.755929 	 1.61915e-10 
5.67e+13 	 1000 	 0.234021 	 6.87839e-05 	 2.31662e-12 	 0.765911 	 1.63368e-10 
5.985e+13 	 1000 	 0.224847 	 6.75835e-05 	 2.27559e-12 	 0.775086 	 1.64693e-10 
6.3e+13 	 1000 	 0.216391 	 6.64509e-05 	 2.23687e-12 	 0.783543 	 1.65906e-10 
6.615e+13 	 1000 	 0.208656 	 6.53912e-05 	 2.20064e-12 	 0.791279 	 1.67007e-10 
6.93e+13 	 1000 	 0.201481 	 6.43879e-05 	 2.16634e-12 	 0.798455 	 1.68023e-10 
7.245e+13 	 1000 	 0.194835 	 6.34403e-05 	 2.13393e-12 	 0.805101 	 1.68959e-10 
7.56e+13 	 1000 	 0.188664 	 6.25435e-05 	 2.10326e-12 	 0.811274 	 1.69823e-10 
7.875e+13 	 1000 	 0.182922 	 6.16942e-05 	 2.07421e-12 	 0.817017 	 1.70623e-10 
8.19e+13 	 1000 	 0.177567 	 6.08887e-05 	 2.04666e-12 	 0.822372 	 1.71366e-10 
8.505e+13 	 1000 	 0.172568 	 6.01243e-05 	 2.0205e-12 	 0.827372 	 1.72057e-10 
8.82e+13 	 1000 	 0.167892 	 5.93984e-05 	 1.99567e-12 	 0.832048 	 1.72701e-10 
9.135e+13 	 1000 	 0.163505 	 5.87074e-05 	 1.97202e-12 	 0.836436 	 1.73303e-10 
9.45e+13 	 1000 	 0.159409 	 5.80526e-05 	 1.94961e-12 	 0.840533 	 1.73863e-10 
9.765e+13 	 1000 	 0.15555 	 5.74277e-05 	 1.92822e-12 	 0.844393 	 1.74389e-10 
1.008e+14 	 1000 	 0.151919 	 5.68324e-05 	 1.90784e-12 	 0.848024 	 1.74882e-10 
1.0395e+14 	 1000 	 0.148488 	 5.62625e-05 	 1.88832e-12 	 0.851456 	 1.75347e-10 
1.071e+14 	 1000 	 0.145259 	 5.57198e-05 	 1.86974e-12 	 0.854685 	 1.75783e-10 
1.1025e+14 	 1000 	 0.142191 	 5.51986e-05 	 1.85189e-12 	 0.857754 	 1.76197e-10 
1.134e+14 	 1000 	 0.139298 	 5.47014e-05 	 1.83486e-12 	 0.860647 	 1.76586e-10 
1.1655e+14 	 1000 	 0.136559 	 5.42258e-05 	 1.81857e-12 	 0.863387 	 1.76953e-10 
1.197e+14 	 1000 	 0.133958 	 5.37695e-05 	 1.80293e-12 	 0.865989 	 1.77302e-10 
1.2285e+14 	 1000 	 0.131486 	 5.33318e-05 	 1.78793e-12 	 0.86846 	 1.77632e-10 
1.26e+14 	 1000 	 0.129134 	 5.29112e-05 	 1.77352e-12 	 0.870813 	 1.77946e-10 
1.2915e+14 	 1000 	 0.126897 	 5.25075e-05 	 1.75968e-12 	 0.873051 	 1.78244e-10 
